[04-08 15:17:24.918]create bugbear859  pos = 6352 3558, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear873  pos = 19458 9739, angle = 205, rTime = 0
[04-08 15:37:24.973]create bugbear869  pos = 18724 7861, angle = 175, rTime = 0
[04-08 15:37:24.973]create bugbear876  pos = 17617 5696, angle = 175, rTime = 0
[04-08 15:37:24.973]create bugbear873  pos = 17042 6149, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear869  pos = 16166 6177, angle = 190, rTime = 0
[04-08 15:37:24.973]create bugbear879  pos = 19034 3793, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear876  pos = 16762 3079, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear880  pos = 15763 3315, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear873  pos = 15786 3892, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear869  pos = 14734 4920, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear873  pos = 12945 6454, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear880  pos = 12909 6129, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear876  pos = 11697 6337, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear873  pos = 11130 6266, angle = 145, rTime = 0
[04-08 15:37:24.973]create bugbear876  pos = 10087 6876, angle = 145, rTime = 0
[04-08 15:42:24.952]create bugbear870  pos = 8103 15758, angle = 145, rTime = 0
[04-08 15:42:24.956]create bugbear871  pos = 6366 16072, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear877  pos = 6158 14021, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear878  pos = 6462 13205, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear874  pos = 18456 3689, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear881  pos = 17992 3613, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear871  pos = 15235 3295, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear874  pos = 11944 3601, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear870  pos = 12378 3349, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear871  pos = 11528 2721, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear881  pos = 9531 2727, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear874  pos = 8534 3308, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear877  pos = 7543 3164, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear878  pos = 6487 3343, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear871  pos = 7192 4128, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear870  pos = 6677 4895, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear877  pos = 6567 5679, angle = 145, rTime = 0
[04-08 15:42:24.957]create bugbear881  pos = 6701 6500, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear881  pos = 6369 6949, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear877  pos = 6994 8064, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear878  pos = 6505 8494, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear874  pos = 6536 8923, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear870  pos = 6288 10738, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear871  pos = 5901 12142, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear881  pos = 13579 25098, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear878  pos = 12103 25146, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear871  pos = 12122 24854, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear870  pos = 11116 24702, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear871  pos = 10579 24343, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear881  pos = 10968 23507, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear874  pos = 13141 22546, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear877  pos = 13778 22539, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear878  pos = 13259 21845, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear874  pos = 14899 20929, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear881  pos = 14973 20419, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear870  pos = 13247 19932, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear871  pos = 13892 19399, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear881  pos = 13283 17519, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear874  pos = 18412 20105, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear871  pos = 22194 18012, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear870  pos = 21710 17182, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear874  pos = 20408 17788, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear878  pos = 20461 17339, angle = 145, rTime = 0
[04-08 15:42:24.958]create bugbear881  pos = 19457 17817, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear881  pos = 16343 15573, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear870  pos = 14078 15726, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear871  pos = 12363 15855, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear871  pos = 11589 13429, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear874  pos = 11113 13869, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear881  pos = 10902 14335, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear878  pos = 9309 12935, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear881  pos = 12534 11209, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear874  pos = 12515 13202, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear878  pos = 14479 14079, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear874  pos = 16426 11297, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear877  pos = 16757 12339, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear878  pos = 17115 12436, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear881  pos = 18473 12565, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear881  pos = 20540 11384, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear878  pos = 20235 10866, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear874  pos = 20390 9764, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear871  pos = 19487 9642, angle = 145, rTime = 0
[04-08 15:42:24.960]create bugbear881  pos = 19063 7981, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear874  pos = 18836 7827, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear878  pos = 19026 6331, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear871  pos = 18459 5518, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear870  pos = 17781 6160, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear871  pos = 15146 5255, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear878  pos = 15722 6195, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear881  pos = 15088 6729, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear874  pos = 15116 7447, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear878  pos = 12657 8012, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear874  pos = 11770 6209, angle = 145, rTime = 0
[04-08 15:42:24.961]create bugbear870  pos = 10394 6937, angle = 145, rTime = 0
[04-08 15:10:30.468]create bugbear859  pos = 6352 3558, angle = 145, rTime = 0
[04-08 15:10:30.468]create bugbear859  pos = 6761 13062, angle = 145, rTime = 0
[04-08 15:10:30.468]create bugbear859  pos = 10820 24989, angle = 145, rTime = 0
[04-08 15:10:30.468]create bugbear859  pos = 14673 20803, angle = 145, rTime = 0
[04-08 15:10:30.468]create bugbear859  pos = 12311 16188, angle = 145, rTime = 0
[04-08 15:10:30.468]create bugbear859  pos = 12015 13994, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 12380 12324, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 14339 12947, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 18442 12863, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 18791 7534, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 14373 7541, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 10186 6273, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 10043 9649, angle = 145, rTime = 0
[04-08 15:10:30.469]create bugbear859  pos = 17186 3343, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 11339 24276, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 13812 18439, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 15189 6218, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 16393 12239, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 14895 13905, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 12824 12767, angle = 145, rTime = 0
[04-08 15:15:30.453]create bugbear860  pos = 10154 11890, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 12167 25665, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 13564 23189, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 18274 13329, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 19167 9778, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 14915 14352, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 13881 9818, angle = 145, rTime = 0
[04-08 15:20:30.553]create bugbear861  pos = 10854 11740, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear875  pos = 10785 24073, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear872  pos = 13477 22976, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear868  pos = 14639 15668, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear872  pos = 13318 16448, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear879  pos = 12347 15640, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear872  pos = 13948 13970, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear875  pos = 15914 12813, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear868  pos = 18943 10871, angle = 145, rTime = 0
[04-08 15:25:30.559]create bugbear868  pos = 18963 8391, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear868  pos = 16101 6381, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear879  pos = 15389 6087, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear879  pos = 15126 6725, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear875  pos = 14694 7473, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear875  pos = 14046 10079, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear872  pos = 13561 9940, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear879  pos = 12202 10924, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear875  pos = 11824 10620, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear875  pos = 11026 11515, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear868  pos = 9987 11359, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear868  pos = 10050 10309, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear868  pos = 10009 8176, angle = 145, rTime = 0
[04-08 15:25:30.560]create bugbear868  pos = 12256 6305, angle = 145, rTime = 0
[04-08 15:30:30.556]create bugbear869  pos = 6383 3326, angle = 130, rTime = 0
[04-08 15:30:30.556]create bugbear880  pos = 6760 5283, angle = 310, rTime = 0
[04-08 15:30:30.556]create bugbear876  pos = 5985 6834, angle = 85, rTime = 0
[04-08 15:30:30.556]create bugbear876  pos = 7022 8707, angle = 70, rTime = 0
[04-08 15:30:30.556]create bugbear869  pos = 7976 9655, angle = 280, rTime = 0
[04-08 15:30:30.556]create bugbear869  pos = 6933 12327, angle = 280, rTime = 0
[04-08 15:30:30.556]create bugbear880  pos = 6095 15473, angle = 55, rTime = 0
[04-08 15:30:30.556]create bugbear880  pos = 8774 13019, angle = 145, rTime = 0
[04-08 15:30:30.556]create bugbear876  pos = 9894 12745, angle = 175, rTime = 0
[04-08 15:30:30.556]create bugbear869  pos = 10279 13445, angle = 310, rTime = 0
[04-08 15:30:30.556]create bugbear869  pos = 13154 21932, angle = 145, rTime = 0
[04-08 15:30:30.556]create bugbear873  pos = 13979 24290, angle = 280, rTime = 0
[04-08 15:30:30.556]create bugbear869  pos = 12066 25739, angle = 10, rTime = 0
[04-08 15:30:30.556]create bugbear880  pos = 10475 24473, angle = 115, rTime = 0
[04-08 15:30:30.556]create bugbear876  pos = 11915 22670, angle = 145, rTime = 0
[04-08 15:30:30.556]create bugbear873  pos = 13946 22903, angle = 265, rTime = 0
[04-08 15:30:30.556]create bugbear880  pos = 13144 20195, angle = 100, rTime = 0
[04-08 15:30:30.556]create bugbear873  pos = 13908 18644, angle = 235, rTime = 0
[04-08 15:30:30.557]create bugbear869  pos = 13055 18537, angle = 85, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 14496 16124, angle = 280, rTime = 0
[04-08 15:30:30.557]create bugbear880  pos = 14689 15746, angle = 340, rTime = 0
[04-08 15:30:30.557]create bugbear869  pos = 11936 16302, angle = 70, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 13456 13442, angle = 340, rTime = 0
[04-08 15:30:30.557]create bugbear869  pos = 16310 12095, angle = 220, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 18525 13386, angle = 325, rTime = 0
[04-08 15:30:30.557]create bugbear880  pos = 18688 11302, angle = 175, rTime = 0
[04-08 15:30:30.557]create bugbear876  pos = 19509 10124, angle = 160, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 19458 9739, angle = 205, rTime = 0
[04-08 15:30:30.557]create bugbear869  pos = 18724 7861, angle = 175, rTime = 0
[04-08 15:30:30.557]create bugbear876  pos = 17617 5696, angle = 175, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 17042 6149, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear869  pos = 16166 6177, angle = 190, rTime = 0
[04-08 15:30:30.557]create bugbear879  pos = 19034 3793, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear876  pos = 16762 3079, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear880  pos = 15763 3315, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 15786 3892, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear869  pos = 14734 4920, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 12945 6454, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear880  pos = 12909 6129, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear876  pos = 11697 6337, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear873  pos = 11130 6266, angle = 145, rTime = 0
[04-08 15:30:30.557]create bugbear876  pos = 10087 6876, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear870  pos = 8103 15758, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear871  pos = 6366 16072, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear877  pos = 6158 14021, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear878  pos = 6462 13205, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear874  pos = 18456 3689, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear881  pos = 17992 3613, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear871  pos = 15235 3295, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear874  pos = 11944 3601, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear870  pos = 12378 3349, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear871  pos = 11528 2721, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear881  pos = 9531 2727, angle = 145, rTime = 0
[04-08 15:35:30.544]create bugbear874  pos = 8534 3308, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear877  pos = 7543 3164, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear878  pos = 6487 3343, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear871  pos = 7192 4128, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear870  pos = 6677 4895, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear877  pos = 6567 5679, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear881  pos = 6701 6500, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear881  pos = 6369 6949, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear877  pos = 6994 8064, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear878  pos = 6505 8494, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear874  pos = 6536 8923, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear870  pos = 6288 10738, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear871  pos = 5901 12142, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear881  pos = 13579 25098, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear878  pos = 12103 25146, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear871  pos = 12122 24854, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear870  pos = 11116 24702, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear871  pos = 10579 24343, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear881  pos = 10968 23507, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear874  pos = 13141 22546, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear877  pos = 13778 22539, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear878  pos = 13259 21845, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear874  pos = 14899 20929, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear881  pos = 14973 20419, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear870  pos = 13247 19932, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear871  pos = 13892 19399, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear881  pos = 13283 17519, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear874  pos = 18412 20105, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear871  pos = 22194 18012, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear870  pos = 21710 17182, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear874  pos = 20408 17788, angle = 145, rTime = 0
[04-08 15:35:30.545]create bugbear878  pos = 20461 17339, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 19457 17817, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 16343 15573, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear870  pos = 14078 15726, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear871  pos = 12363 15855, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear871  pos = 11589 13429, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear874  pos = 11113 13869, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 10902 14335, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear878  pos = 9309 12935, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 12534 11209, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear874  pos = 12515 13202, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear878  pos = 14479 14079, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear874  pos = 16426 11297, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear877  pos = 16757 12339, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear878  pos = 17115 12436, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 18473 12565, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 20540 11384, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear878  pos = 20235 10866, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear874  pos = 20390 9764, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear871  pos = 19487 9642, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear881  pos = 19063 7981, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear874  pos = 18836 7827, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear878  pos = 19026 6331, angle = 145, rTime = 0
[04-08 15:35:30.546]create bugbear871  pos = 18459 5518, angle = 145, rTime = 0
