//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
56	Harbor Operator - Teba	1	452	9	308137,213590	308137,213590	-20	Pyrex Haven	78	0	r_talk194	0
57	Harbor Operator - Baros	1	453	9	202414,275254	202414,275254	-65	Woody Haven	79	0	r_talk195	0
58	Harbor Operator - Didane	1	452	9	154435,371225	154435,371225	-45	Gelada Haven	80	0	r_talk196	0
59	Harbor Operator - Dannis	1	452	9	13647,343240	13647,343240	-45	Hubble Haven	81	0	r_talk197	0
60	Harbor Operator - Soc	1	452	9	319408,350755	319408,350755	20	Ethio Haven	82	0	r_talk198	0
61	Trader - Sibun	1	450	4	238622,73481	238622,73481	264	Isle of Chill	31	0	r_talk199	0
62	Trader - Mickey	1	450	4	173958,374885	173958,374885	144	Canary Isle	38	0	r_talk200	0
63	Trader - Yuka	1	450	4	251974,239702	251974,239702	84	Cupid Isle	37	0	r_talk201	0
64	Trader - Sidorf	1	450	4	79934,365919	79934,365919	59	Shaitan City	13	0	r_talk208	0
65	Freight - Alexis	1	459	9	235697,72603	235697,72603	235	Isle of Chill	31	0	r_talk217	0
66	Freight - Yevgeni	1	459	9	172646,378701	172646,378701	9	Canary Isle	38	0	r_talk218	0
67	Freight - Amber	1	440	9	136903,303352	136903,303352	10	Shaitan City	13	0	r_talk219	0
68	Island Teleporter - Julie	1	11	7	236614,72624	236614,72624	144	Isle of Chill	31	0	TeleportIsland	0
69	Island Teleporter - Winnie	1	11	7	172286,375558	172286,375558	144	Canary Isle	38	0	TeleportIsland	0
70	Island Teleporter - Wanda	1	11	7	252026,240257	252026,240257	84	Cupid Isle	37	0	TeleportIsland	0
71	Pirate Jeremy	1	451	0	236200,65759	236200,65759	210	Isle of Chill	31	0	r_talk224	0
72	Captain Jack	1	425	0	167220,377721	167220,377721	110	Canary Isle	38	0	r_talk225	0
73	Merchant	1	19	17	84701,360677	84701,360677	270	Shaitan City	13	0	r_talk234	0
74	Accessory - Allan	1	19	13	122671,318375	122671,318375	181	Babul Haven	62	0	r_talk240	0
75	Freight - Ansto	1	440	9	153525,344928	153525,344928	175	Prairie Desert	16	0	r_talk245	0
//76	Forsaken City Researcher	1	421	0	81075,360975	81075,360975	180	Shaitan City	13	0	Earth_Sealed	0
76	World Researcher	1	421	0	81075,360975	81075,360975	180	Shaitan City	13	0	r_talk255	0
77	Obscure Harbor Operator	1	452	9	82800,370500	82800,370500	180	Shaitan City	13	0	r_talk263	0
78	Freight - Ali Q	1	459	9	83246,370701	83246,370701	245	Shaitan City	13	0	m_talk001	0
79	Arms Dealer	1	450	4	87227,364657	87227,364657	175	Shaitan City	13	0	r_talk264	0
80	Rare Material Supplier	1	450	4	89587,365745	89587,365745	40	Shaitan City	13	0	r_talk265	0
81	Rare Metal Supplier	1	450	4	84801,364147	84801,364147	175	Shaitan City	13	0	r_talk266	0
82	Blacksmith Disciple	1	402	1	90458,350138	90458,350138	219	Shaitan City	13	0	mmm_talk04	0
83	Langa	1	840	0	85300,354900	85300,354900	120	Shaitan City	13	0	e_talk01	0
84	Chaos Administrator	1	424	0	96711,355311	97811,357511	180	Shaitan City	13	0	kk_talk01	0
85	Matchstick	1	867	0	90500,356300	90500,356300	180	Shaitan City	13	0	b_talk25	0
86	Substance Generator	1	887	0	87700,364500	87700,364500	180	Shaitan City	13	0	b_talk27	0
87	Ore Processsing Merchant	1	459	4	90800,352200	90800,352200	270	Shaitan City	13	0	leo_talkbb	0
88	Little Graduate	1	403	0	88000,364500	88000,364500	180	Shaitan City	13	0	max_talka4	0
89	Matchstick Granny	1	25	0	90700,356200	90700,356200	265	Shaitan City	13	0	max_talka2	0
90	Help Support	0	430	0	308900,211900	308900,211900	265	Pyrex Haven	78	0	leo_talkzz	0
91	Scared War Administrator - Naya	1	424	0	98100,360300	98100,360300	255	Shaitan City	13	0	roico_talk	0
