//ID	模型文件名	中文名称	类型	类型参数1	类型参数2	Special Parameter	平行光影响	点光源影响	风格	Sign	背景色开关	受地表阴影印象
64	lt-bd018-07.lmo	Thundoria Castl	0	0	0	0	1	0	2	0	1	0
65	lt-bd018-08.lmo	Thundoria Castl	0	0	0	0	1	0	2	0	1	0
66	lt-bd019.lmo	Thundoria 3m St	0	0	0	0	1	0	2	0	1	1
67	lt-bd020.lmo	Thundoria Castl	0	0	0	0	1	0	2	0	1	1
68	lt-bd021.lmo	Thundoria Stree	0	0	0	0	1	0	2	0	1	0
69	lt-bd022.lmo	Thundoria Pond 	0	0	0	0	0	0	2	0	1	0
70	lt-bd024.lmo	Thundoria Castl	0	0	0	0	1	0	2	0	1	0
71	lt-bd025-01.lmo	Camp 01	0	0	0	0	1	0	2	0	1	0
72	lt-bd025-02.lmo	Camp 02	0	0	0	0	1	0	2	0	1	0
73	lt-bd025-03.lmo	Camp 03	0	0	0	0	1	0	2	0	1	0
74	lt-bd025-04.lmo	Camp 04	0	0	0	0	1	0	2	0	1	0
75	lt-bd025-05.lmo	Camp 05	0	0	0	0	1	0	2	0	1	0
76	lt-bd025-06.lmo	Camp 06	0	0	0	0	1	0	2	0	1	0
77	lt-bd025-07.lmo	Camp 07	0	0	0	0	1	0	2	0	1	0
78	lt-bd025-08.lmo	Camp 08	0	0	0	0	1	0	2	0	1	0
79	lt-bd013-01.lmo	Thundoria Navy 	0	0	0	0	1	0	2	0	1	1
80	lt-bd013-02.lmo	Thundoria Navy 	0	0	0	0	1	0	2	0	1	1
81	lt-bd013-03.lmo	Thundoria Navy 	0	0	0	0	1	0	2	0	1	1
82	lt-bd013-04.lmo	Thundoria Navy 	0	0	0	0	1	0	2	0	1	1
83	lt-bd025-09.lmo	Military Tent 0	0	0	0	0	1	0	2	0	1	0
84	lt-bd026.lmo	Cannon 01	0	0	0	0	1	0	2	0	1	0
85	lt-bd018-09.lmo	Thundoria Gate 	0	0	0	0	1	0	2	0	1	0
86	lt-bd018-10.lmo	Thundoria Gate 	0	0	0	0	1	0	2	0	1	0
87	lt-bd027.lmo	Cannon 02	0	0	0	0	1	0	2	0	1	0
88	lt-bd028.lmo	Thundoria Inn 0	0	0	0	0	1	0	2	0	1	0
89	lt-bd029.lmo	Thundoria Arrow	0	0	0	0	1	0	2	0	1	0
90	lt-bd030.lmo	Lone Tower 01	0	0	0	0	1	0	7	0	1	1
91	lt-bd031.lmo 	Thundoria Table	0	0	0	0	1	0	2	0	1	0
92	lt-bd032.lmo 	Thundoria Chair	0	0	0	0	1	0	2	0	1	0
93	lt-bd033.lmo	Thundoria Harbo	0	0	0	0	1	0	2	0	1	0
94	lt-bd034.lmo	Thundoria Harbo	0	0	0	0	1	0	2	0	1	0
95	lt-bd035.lmo	Thundoria Harbo	0	0	0	0	1	0	2	0	1	0
96	lt-bd036-01.lmo	Thundoria Harbo	0	0	0	0	1	0	2	0	1	0
97	lt-bd036-02.lmo	Thundoria Harbo	0	0	0	0	1	0	2	0	1	0
98	lt-bd037.lmo	Thundoria Harbo	0	0	0	0	1	0	2	0	1	0
99	nml-bd138.lmo	Floating Leaf 0	0	0	0	0	1	0	8	0	1	0
100	nml-bd139.lmo	Fence 01	0	0	0	0	1	0	9	0	1	1
101	nml-bd140.lmo	Snowy Fence 01	0	0	0	0	1	0	9	0	1	1
102	sl-bd001.lmo	New Kara Shrine	0	0	0	0	1	0	3	0	1	0
103	sl-bd005.lmo	Shaitan Bank 01	0	0	0	0	1	0	3	0	1	0
104	sl-bd008.lmo	Shaitan Grocery	0	0	0	0	1	0	3	0	1	0
105	sl-bd009.lmo	Shaitan Bar 01	0	0	0	0	1	0	3	0	1	0
106	sl-bd012.lmo	Shaitan Blacksm	0	0	0	0	1	0	3	0	1	0
107	sl-bd006.lmo	Shaitan Crab St	0	0	0	0	1	0	3	0	1	0
108	sl-bd010.lmo	Shaitan Commerc	0	0	0	0	1	0	3	0	1	0
109	sl-bd007.lmo	Shaitan Inn 01	0	0	0	0	1	0	3	0	1	0
110	sl-bd003.lmo	Shaitan Commerc	0	0	0	0	1	0	3	0	1	0
111	sl-bd004.lmo	Shaitan Navy Of	0	0	0	0	1	0	3	0	1	0
112	sl-bd013.lmo	Shaitan Lightho	0	0	0	0	1	0	3	0	1	0
113	sl-bd026-01.lmo	Shaitan Canal 0	0	0	0	0	0	0	3	0	1	0
114	sl-bd026-02.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
115	sl-bd026-03.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
116	sl-bd026-04.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
117	sl-bd026-05.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
118	sl-bd026-06.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
119	sl-bd026-07.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
120	sl-bd026-08.lmo	Shaitan Aqueduc	0	0	0	0	0	0	3	0	1	0
121	sl-bd015.lmo	Shaitan Waterwh	0	0	0	0	0	0	3	0	1	0
122	sl-bd019.lmo	Shaitan Room 01	0	0	0	0	1	0	3	0	1	0
123	sl-bd020.lmo	Shaitan Bungalo	0	0	0	0	1	0	3	0	1	0
124	sl-bd025.lmo	Shaitan Fruit C	0	0	0	0	1	0	3	0	1	0
125	sl-bd011.lmo	Shaitan Flame T	0	0	0	0	1	0	3	0	1	0
126	sl-bd021.lmo	Shaitan Tent 01	0	0	0	0	1	0	3	0	1	1
127	sl-bd032-01.lmo	Shaitan Stave 0	0	0	0	0	1	0	3	0	1	0
128	sl-bd032-02.lmo	Shaitan Stave 0	0	0	0	0	1	0	3	0	1	0
129	sl-bd032-03.lmo	Shaitan Stave 0	0	0	0	0	1	0	3	0	1	0
130	sl-bd014-01.lmo	Shaitan Harbor 	0	0	0	0	1	0	3	0	1	0
131	sl-bd014-02.lmo	Shaitan Harbor 	0	0	0	0	1	0	3	0	1	0
132	sl-bd014-03.lmo	Shaitan Harbor 	0	0	0	0	1	0	3	0	1	0
133	sl-bd014-04.lmo	Shaitan Harbor 	0	0	0	0	1	0	3	0	1	0
134	sl-bd014-05.lmo	Shaitan Harbor 	0	0	0	0	1	0	3	0	1	0
135	sl-bd017-01.lmo	Shaitan Wall 01	0	0	0	0	1	0	3	0	1	0
136	sl-bd017-02.lmo	Shaitan Wall 02	0	0	0	0	1	0	3	0	1	0
137	sl-bd017-03.lmo	Shaitan Wall 03	0	0	0	0	1	0	3	0	1	0
138	sl-bd032.lmo	Shaitan Chair 0	0	0	0	0	1	0	3	0	1	0
139	sl-bd033.lmo	Shaitan Table 0	0	0	0	0	1	0	3	0	1	0
140	sl-bd034.lmo	Shaitan Parasol	0	0	0	0	1	0	3	0	1	0
141	sl-bd026-09.lmo	Shaitan Aqueduc	0	0	0	0	1	0	3	0	1	1
142	sl-bd030.lmo	Old Shaitan Rub	0	0	0	0	1	0	3	0	1	1
143	sl-bd028-01.lmo	Shaitan Abandon	0	0	0	0	1	0	3	0	1	1
144	sl-bd028-02.lmo	Shaitan Abandon	0	0	0	0	1	0	3	0	1	1
145	sl-bd031.lmo	Shaitan Broken 	0	0	0	0	1	0	3	0	1	1
146	sl-bd028-03.lmo	Shaitan Abandon	0	0	0	0	1	0	3	0	1	1
147	sl-bd028-04.lmo	Shaitan Abandon	0	0	0	0	1	0	3	0	1	1
148	sl-bd035.lmo	Shaitan Wooden 	0	0	0	0	1	0	3	0	1	1
149	sl-bd036.lmo	Shaitan Ship Fa	0	0	0	0	1	0	3	0	1	1
150	sl-bd037.lmo	Shaitan Pond 01	0	0	0	0	0	0	3	0	1	0
151	bl-bd001.lmo	Icicle Grocery 	0	0	0	0	1	0	4	0	1	1
152	bl-bd002.lmo	Icicle Commerce	0	0	0	0	1	0	4	0	1	1
153	bl-bd003.lmo	Icicle Rampart 	0	0	0	0	1	0	4	0	1	1
154	bl-bd004.lmo	Icicle House 01	0	0	0	0	1	0	4	0	1	1
155	bl-bd005-01.lmo	Icicle Rubbles 	0	0	0	0	1	0	4	0	1	1
156	bl-bd005-02.lmo	Icicle Rubbles 	0	0	0	0	1	0	4	0	1	1
157	bl-bd005-03.lmo	Icicle Rubbles 	0	0	0	0	1	0	4	0	1	1
158	bl-bd006.lmo	Icicle Blacksmi	0	0	0	0	1	0	4	0	1	1
159	bl-bd007.lmo	Icicle Hotel 01	0	0	0	0	1	0	4	0	1	1
160	bl-bd008-01.lmo	Icicle Wall 01	0	0	0	0	1	0	4	0	1	1
161	bl-bd008-02.lmo	Icicle Wall 02	0	0	0	0	1	0	4	0	1	1
162	bl-bd008-03.lmo	Icicle Wall 03	0	0	0	0	1	0	4	0	1	1
163	bl-bd008-04.lmo	Icicle Wall 04	0	0	0	0	1	0	4	0	1	1
164	bl-bd009.lmo	Snowy Crate 01	0	0	0	0	1	0	4	0	1	1
165	bl-bd010.lmo	Snow Crate 01	0	0	0	0	1	0	4	0	1	1
166	bl-bd011.lmo	Snow Barrel 01	0	0	0	0	1	0	4	0	1	1
167	bl-bd012.lmo	Snow Stump 01	0	0	0	0	1	0	4	0	1	1
168	bl-bd013.lmo	Icicle Castle 0	0	0	0	0	1	0	4	0	1	1
169	bl-bd014.lmo	Icicle Statue 0	0	0	0	0	0	0	4	0	1	1
170	bl-bd015.lmo	Icicle Statue 0	0	0	0	0	0	0	4	0	1	1
171	bl-bd016.lmo	Icicle Pool 01	0	0	0	0	0	0	4	0	1	0
172	bl-bd017.lmo	Icicle Castle P	0	0	0	0	1	0	4	0	1	1
173	nml-bd142.lmo	Fog 01	0	0	0	0	0	0	9	0	1	0
174	nml-bd143.lmo	Fire 01	0	0	0	0	0	0	9	0	1	0
175	nml-bd144.lmo	Ice Tree 01	0	0	0	0	0	0	8	0	1	1
176	nml-bd145.lmo	Autumn Hut 01	0	0	0	0	1	0	9	0	1	1
177	nml-bd146.lmo	Autumn Altar 01	0	0	0	0	1	0	9	0	1	1
178	nml-bd147.lmo	Mini Tent 01	0	0	0	0	1	0	9	0	1	1
179	nml-bd148-01.lmo	Number two maze	0	0	0	0	1	0	9	0	1	1
180	nml-bd148-02.lmo	Number two laby	0	0	0	0	1	0	9	0	1	1
181	nml-bd149.lmo	Falling Bamboo 	0	0	0	0	1	0	9	0	1	1
182	nml-bd136.lmo	Yellow Flowery 	0	0	0	0	1	0	8	0	1	1
183	nml-bd135.lmo	Fat Green Tree 	0	0	0	0	1	0	8	0	1	1
184	nml-bd137.lmo	Fat Tree 01	0	0	0	0	1	0	8	0	1	1
185	mz-bd025.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
186	mz-bd024.lmo	Lamp 01	0	0	0	0	1	0	7	0	1	1
187	nml-bd134.lmo	Green Twin Tree	0	0	0	0	1	0	8	0	1	1
188	nml-bd133.lmo	Crimson Twin Tr	0	0	0	0	1	0	8	0	1	1
189	nml-bd132.lmo	Red Coconut Tre	0	0	0	0	1	0	8	0	1	1
190	nml-bd131.lmo	Red Coconut Tre	0	0	0	0	1	0	8	0	1	1
191	mz-bd023.lmo	Mini Tramcar 01	0	0	0	0	1	0	7	0	1	1
192	mz-bd022.lmo	Labyrinth Black	0	0	0	0	0	0	7	0	1	1
193	mz-bd021.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
194	mz-bd020.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
195	mz-bd019.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
196	mz-bd018.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
197	mz-bd017.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
198	mz-bd016.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
199	mz-bd015.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
200	mz-bd014.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
201	mz-bd013.lmo	Mine Labyrinth 	0	0	0	0	0	0	7	0	1	1
202	mz-bd011-06.lmo	Mine Labyrinth 	0	0	0	0	1	0	7	0	1	0
203	mz-bd011-05.lmo	Mine Labyrinth 	0	0	0	0	1	0	7	0	1	0
204	mz-bd011-04.lmo	Mine Labyrinth 	0	0	0	0	1	0	7	0	1	1
205	mz-bd011-03.lmo	Mine Labyrinth 	0	0	0	0	1	0	7	0	1	1
206	mz-bd011-02.lmo	Mine Labyrinth 	0	0	0	0	1	0	7	0	1	0
207	mz-bd011-01.lmo	Mine Labyrinth 	0	0	0	0	1	0	7	0	1	0
208	nml-bd130.lmo	Conch 01	0	0	0	0	1	0	9	0	1	1
209	nml-bd129.lmo	Firepile 01	0	0	0	0	1	0	9	0	1	1
210	nml-bd128-04.lmo	Snow Mountain M	0	0	0	0	0	0	9	0	1	0
211	nml-bd128-03.lmo	Snow Mountain M	0	0	0	0	0	0	9	0	1	0
212	nml-bd128-02.lmo	Snow Mountain M	0	0	0	0	0	0	9	0	1	0
213	nml-bd128-01.lmo	Snow Mountain M	0	0	0	0	0	0	9	0	1	0
214	nml-bd127.lmo	Thundra Snowy T	0	0	0	0	1	0	8	0	1	1
215	nml-bd126.lmo	Red Maple 01	0	0	0	0	1	0	8	0	1	1
216	nml-bd125.lmo	Snow Maple Tree	0	0	0	0	1	0	8	0	1	1
217	nml-bd124.lmo	New Snow Grass 	0	0	0	0	0	0	8	0	0	1
218	nml-bd123.lmo	Forest Snow Tre	0	0	0	0	1	0	8	0	1	1
219	nml-bd122.lmo	Forest Snow Tre	0	0	0	0	1	0	8	0	1	1
220	nml-bd121.lmo	Withered Snow T	0	0	0	0	1	0	8	0	1	1
221	nml-bd120.lmo	Special Effect 	0	0	0	0	1	0	9	0	1	1
222	nml-bd119.lmo	Snowy Weird Tre	0	0	0	0	1	0	8	0	1	1
223	nml-bd118.lmo	Tundra Snowy Tr	0	0	0	0	1	0	8	0	1	1
224	nml-bd117.lmo	Tundra Snowball	0	0	0	0	1	0	8	0	1	1
225	nml-bd116.lmo	Sand Grass Tree	0	0	0	0	1	0	8	0	1	1
226	nml-bd115.lmo	Fern Grass 01	0	0	0	0	1	0	8	0	1	1
227	nml-bd114.lmo	Sand Strange Tr	0	0	0	0	1	0	8	0	1	1
228	nml-bd113.lmo	Cactus 01	0	0	0	0	1	0	8	0	1	1
229	nml-bd112.lmo	Big Sand Rock 0	0	0	0	0	1	0	9	0	1	1
230	nml-bd111.lmo	Sand 01	0	0	0	0	1	0	9	0	1	1
231	nml-bd110.lmo	Sand Grass 02	0	0	0	0	0	0	8	0	0	1
232	nml-bd109.lmo	Sand Grass 01	0	0	0	0	0	0	8	0	0	1
233	mz-bd005.lmo	Pool 03	0	0	0	0	0	0	7	0	1	1
234	nml-bd108.lmo	New Barrel Grou	0	0	0	0	1	0	9	0	1	1
235	nml-bd107.lmo	New Cask 01	0	0	0	0	1	0	9	0	1	1
236	nml-bd106.lmo	Grass Fence 02	0	0	0	0	1	0	7	0	1	1
237	nml-bd105.lmo	Grass Wall 01	0	0	0	0	1	0	7	0	1	1
238	nml-bd104.lmo	Keel 01	0	0	0	0	1	0	9	0	1	1
239	nml-bd103.lmo	Dragon Bone 01	0	0	0	0	1	0	9	0	1	1
240	nml-bd102.lmo	Dragon Bone 01	0	0	0	0	1	0	9	0	1	1
241	nml-bd101.lmo	Big Stump01	0	0	0	0	1	0	8	0	1	1
242	nml-bd100.lmo	Desert Flower 0	0	0	0	0	1	0	8	0	1	1
243	nml-bd099.lmo	Desert Tree 01	0	0	0	0	1	0	8	0	1	1
244	nml-bd098.lmo	Tree Ball Flowe	0	0	0	0	1	0	8	0	1	1
245	nml-bd097.lmo	New Grass 04	0	0	0	0	1	0	8	0	1	1
246	mz-bd010.lmo	Pillar 01	0	0	0	0	0	0	7	0	1	1
247	nml-bd096.lmo	Lumber Mill 01	0	0	0	0	1	0	9	0	1	0
248	nml-bd095.lmo	Blossom 02	0	0	0	0	1	0	8	0	1	0
249	mz-bd009.lmo	Pool 06	0	0	0	0	0	0	7	0	1	1
250	mz-bd008.lmo	Pool 05	0	0	0	0	0	0	7	0	1	1
251	mz-bd007.lmo	Palace Statue 0	0	0	0	0	0	0	7	0	1	1
252	mz-bd006.lmo	Pool 04	0	0	0	0	0	0	7	0	1	1
253	mz-bd011.lmo	Maze Wall 03	0	0	0	0	0	0	7	0	1	1
254	mz-bd004.lmo	Pool 02	0	0	0	0	0	0	7	0	1	1
255	mz-bd003.lmo	Pool 01	0	0	0	0	0	0	7	0	1	1
256	mz-bd002.lmo	Wall 02	0	0	0	0	0	0	7	0	1	1
257	mz-bd001.lmo	Wall 01	0	0	0	0	0	0	7	0	1	1
258	nml-bd094.lmo	Flower 01	0	0	0	0	1	0	8	0	1	0
259	nml-bd093.lmo	New Grass 03	0	0	0	0	1	0	8	0	1	1
260	nml-bd092.lmo	New Tree 01	0	0	0	0	1	0	8	0	1	1
261	nml-bd091.lmo	Grass 01	0	0	0	0	1	0	8	0	1	0
262	nml-bd090.lmo	Fountain 01	0	0	0	0	0	0	9	0	1	0
263	nml-bd089.lmo	Stone Bench 01	0	0	0	0	1	0	9	0	1	1
264	nml-bd088.lmo	Peach Tree 02	0	0	0	0	1	0	8	0	1	0
265	nml-bd087.lmo	Cherry Tree 01	0	0	0	0	1	0	8	0	1	0
266	nml-bd086.lmo	New Grass 02	0	0	0	0	1	0	8	0	1	1
267	nml-bd085.lmo	New Grass 01	0	0	0	0	1	0	8	0	1	1
268	nml-bd084.lmo	Flower 07	0	0	0	0	0	0	8	0	0	1
269	nml-bd083.lmo	Crimson Tree 01	0	0	0	0	1	0	8	0	1	1
270	nml-bd082.lmo	Thousand Old Tr	0	0	0	0	1	0	8	0	1	0
271	nml-bd081.lmo	Oil Barrel 01	0	0	0	0	1	0	9	0	1	0
272	nml-bd080.lmo	Little Yellow L	0	0	0	0	1	0	9	0	1	0
273	nml-bd079.lmo	Traffic Lamp 01	0	0	0	0	1	0	9	0	1	0
274	nml-bd078.lmo	Turning Edge 01	0	0	0	0	1	0	9	0	1	0
275	nml-bd077.lmo	6m Step 01	0	0	0	0	1	0	9	0	1	0
276	nml-bd076.lmo	2m Stave 01	0	0	0	0	1	0	9	0	1	0
277	nml-bd075.lmo	Small Icicle 01	0	0	0	0	0	0	9	0	1	1
278	nml-bd074.lmo	Big Ice Pillar 	0	0	0	0	0	0	9	0	1	1
279	nml-bd073.lmo	Old Tree 01	0	0	0	0	1	0	8	0	1	1
280	nml-bd072.lmo	Bamboo 02	0	0	0	0	1	0	8	0	1	1
281	nml-bd071.lmo	Bamboo 01	0	0	0	0	1	0	8	0	1	1
282	nml-bd070.lmo	Revolving Light	0	0	0	0	1	0	9	0	1	1
283	nml-bd069.lmo	Ocean Canteen	0	0	0	0	1	0	9	0	1	0
284	nml-bd068.lmo	Snowy Stone 01	0	0	0	0	1	0	9	0	1	1
285	nml-bd067.lmo	Boat 02	0	0	0	0	1	0	9	0	1	1
286	nml-bd066.lmo	Snowy Rock 01	0	0	0	0	1	0	9	0	1	1
287	sl-bd040.lmo	Old Shaitan Wal	0	0	0	0	1	0	3	0	1	1
288	sl-bd041.lmo	Old Shaitan Wal	0	0	0	0	1	0	3	0	1	1
289	nml-bd063.lmo	Red Mango Grass	0	0	0	0	1	0	8	0	1	0
290	nml-bd062.lmo	Forest Trees 02	0	0	0	0	1	0	8	0	1	1
291	nml-bd061.lmo	Forest Tree 01	0	0	0	0	1	0	8	0	1	1
292	nml-bd060.lmo	Flower 06	0	0	0	0	0	0	8	0	0	1
293	nml-bd059.lmo	Bridge 01	0	0	0	0	1	0	9	0	1	1
294	nml-bd058.lmo	Small Bench 01	0	0	0	0	1	0	9	0	1	0
295	nml-bd057.lmo	Rock 02	0	0	0	0	1	0	9	0	1	1
296	nml-bd056.lmo	Rock 01	0	0	0	0	1	0	9	0	1	1
297	nml-bd055.lmo	Flower 05	0	0	0	0	0	0	8	0	0	1
298	nml-bd054.lmo	Tree 12	0	0	0	0	1	0	8	0	1	1
299	nml-bd053.lmo	Tree 11	0	0	0	0	0	0	8	0	1	0
300	nml-bd052.lmo	Tree 10	0	0	0	0	0	0	8	0	1	0
301	nml-bd051.lmo	Fore 01	0	0	0	0	1	0	9	0	1	1
302	nml-bd048.lmo	Bench 02	0	0	0	0	1	0	9	0	1	1
303	nml-bd047.lmo	Market 01	0	0	0	0	1	0	1	0	1	0
304	nml-bd046.lmo	Signpost 02	0	0	0	0	1	0	9	0	1	0
305	nml-bd045.lmo	Singpost 01	0	0	0	0	1	0	9	0	1	0
306	nml-bd044.lmo	Barrel Board Im	0	0	0	0	1	0	9	0	1	1
307	nml-bd043.lmo	Barrel Board Im	0	0	0	0	1	0	9	0	1	1
308	nml-bd042.lmo	Barrel Board Im	0	0	0	0	1	0	9	0	1	1
309	nml-bd041.lmo	Metal Fence Pil	0	0	0	0	1	0	9	0	1	0
310	nml-bd040.lmo	Metal Fence 01	0	0	0	0	1	0	9	0	1	0
311	nml-bd039.lmo	Pergola 01	0	0	0	0	1	0	9	0	1	0
312	nml-bd038.lmo	Table 01	0	0	0	0	1	0	9	0	1	0
313	nml-bd037.lmo	Rattan Chair 01	0	0	0	0	1	0	9	0	1	0
314	nml-bd036.lmo	Bench 01	0	0	0	0	1	0	1	0	1	0
315	nml-bd035.lmo	Flower 04	0	0	0	0	1	0	8	0	1	0
316	nml-bd034.lmo	Grass 06	0	0	0	0	0	0	8	0	0	1
317	nml-bd033.lmo	Blossom 02	0	0	0	0	1	0	8	0	1	1
318	nml-bd032.lmo	Flower 01	0	0	0	0	1	0	8	0	1	1
319	nml-bd031.lmo	Flower Grass 01	0	0	0	0	1	0	8	0	1	0
320	nml-bd030.lmo	Flower Pot 03	0	0	0	0	1	0	9	0	1	1
321	nml-bd029.lmo	Flower Pot 02	0	0	0	0	1	0	9	0	1	1
322	nml-bd028.lmo	Flower Pot 01	0	0	0	0	1	0	9	0	1	1
323	nml-bd027.lmo	Garden 01	0	0	0	0	1	0	9	0	1	0
324	nml-bd026.lmo	Withered Trunk 	0	0	0	0	1	0	8	0	1	1
325	nml-bd025.lmo	Grass 04	0	0	0	0	0	0	8	0	0	1
326	nml-bd024.lmo	Grass 03	0	0	0	0	1	0	8	0	1	0
