//ID	Name	RGB color	Sound effect ID	Color RGB	Lighting RGB value	Lighting angle	Is it city?
182	Ice-covered Island	13,75,166	6	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
183	1st Aurora Area	122,97,10	9	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
184	2nd Aurora Area	208,205,156	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
185	1st Dark Area	18,222,247	10	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
186	2nd Dark Area	11,96,177	10	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
187	Unknown Island 136	111,97,12	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
188	Unknown Island 137	66,154,36	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
189	Unknown Island 138	146,17,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
190	Unknown Island 139	167,222,81	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
191	Unknown Island 140	110,71,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
192	Unknown Island 141	159,4,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
193	Unknown Island 142	184,7,111	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
194	Unknown Island 143	20,68,132	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
195	Unknown Island 144	14,154,24	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
196	Unknown Island 145	142,37,89	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
197	Unknown Island 146	92,158,57	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
198	Unknown Island 147	188,146,160	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
199	Unknown Island 148	122,153,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
200	Unknown Island 149	188,183,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
201	Unknown Island 150	39,136,46	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
202	Unknown Island 151	30,39,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
203	Unknown Island 152	161,20,96	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
204	Unknown Island 153	59,160,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
205	Unknown Island 154	135,58,94	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
206	Unknown Island 155	6,208,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
207	Unknown Island 156	107,14,201	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
208	Unknown Island 157	208,231,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
209	Unknown Island 158	77,93,71	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
210	Unknown Island 159	45,133,66	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
211	Unknown Island 160	220,120,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
212	Unknown Island 161	242,71,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
213	Unknown Island 162	24,38,222	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
214	Unknown Island 163	83,246,178	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
215	Unknown Island 164	95,133,110	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
216	Unknown Island 165	182,68,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
217	Unknown Island 166	252,142,62	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
218	Unknown Island 167	95,164,116	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
219	Unknown Island 168	150,223,125	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
220	Unknown Island 169	220,117,39	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
221	Unknown Island 170	235,100,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
222	Unknown Island 171	189,36,220	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
223	Unknown Island 172	114,38,80	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
224	Unknown Island 173	89,227,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
225	Unknown Island 174	19,196,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
226	Unknown Island 175	4,60,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
227	Unknown Island 176	222,132,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
228	Unknown Island 177	231,61,7	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
229	Unknown Island 178	92,216,119	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
230	Unknown Island 179	130,18,104	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
231	Unknown Island 180	201,212,70	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
232	Unknown Island 181	13,53,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
233	Unknown Island 182	69,246,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
234	Unknown Island 183	204,120,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
235	Unknown Island 184	232,4,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
236	Unknown Island 185	171,198,235	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
237	Unknown Island 186	167,132,219	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
238	Unknown Island 187	248,56,223	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
239	Unknown Island 188	96,68,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
240	Unknown Island 189	241,204,135	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
241	Unknown Island 190	179,42,224	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
242	Unknown Island 191	3,196,74	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
243	Unknown Island 192	198,52,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
244	Unknown Island 193	215,130,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
245	Unknown Island 194	48,202,188	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
246	Capture the Flag	27,69,133	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
247	Unknown Island 196	166,14,218	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
248	Unknown Island 197	110,125,152	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
249	Unknown Island 198	206,63,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
250	Unknown Island 199	217,104,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
251	Unknown Island 200	239,134,60	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
252	Unknown Island 201	180,40,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
253	Unknown Island 202	13,75,166	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
254	PK Arena	18,222,247	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
255	Login Interface	122,97,10	-1	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
