//No.	Name	Trigger interval	Transfer duration	Use effect script	Remove the effect of the script	Substitution principle	Manually Cancel	Can Move	Can use Skills	Can attack	Can trade	Can use items	It can be attacked	Can someone else use items	Can someone else use the skills	Invisible	Whether it is forced to show	Whether the backpack can be operated	Is it possible to talk to npc	Release effect number	Screen effect Client performance	Client performance indicator	State ground effect	Center point display	Stunning performance	Special effect performance	dummy1	Attacked special effects performance in this state	dummy2	ICON	Explanation	description	Manifestations	Remarks
86	Tornado	-1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	11	-1	0	0	1	274	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
87	Algae Entanglement	3	0	State_Hzcr_Add	State_Hzcr_Rem	2	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	277	0	0	0	0	0	0	0	s0215,0,0,0,0,0,0,0,0,0	Binds Target	15218966
88	Tail Wind	-1	0	State_Sf_Add	State_Sf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	287	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
89	Break Armor	-1	0	State_Pj_Add	State_Pj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	1	0	0	0	s0222,0,0,0,0,0,0,0,0,0	Lowers Defense	15218966
90	Rousing	-1	0	State_Fnq_Add	State_Fnq_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	302	-1	0	0	0	s0223,0,0,0,0,0,0,0,0,0	Increases Attack Speed	1566795
91	Venom Arrow	2	State_Dj_Tran	State_Dj_Add	State_Dj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	1	0	0	0	s0224,0,0,0,0,0,0,0,0,0	Inflicts Poison Damage	15218966
92	Harden	-1	0	State_Shpf_Add	State_Shpf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	301	1	0	0	0	s0225,0,0,0,0,0,0,0,0,0	Increases Defense	1566795
93	Blood Fury	1	0	State_Xn_Add	State_Xn_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	321	-1	0	0	0	kissofthefrost,0,0,0,0,0,0,0,0,0	0	1566795
94	Lair	-1	0	State_Nt_Add	State_Nt_Rem	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	324	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
95	Earthquake	-1	State_DiZ_Tran	State_DiZ_Add	State_DiZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
96	Kiss of Frost	-1	0	State_Biw_Add	State_Biw_Rem	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	-1	0	0	0	329	2	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
97	Wood Bundle	3	0	State_MCK_Add	State_MCK_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
98	Death Shriek	-1	0	State_Swcx_Add	State_Swcx_Rem	2	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	1	319	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
99	Set Stall	-1	0	0	0	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	selling,0,0,0,0,0,0,0,0,0	0	1566795
100	Repair	-1	0	0	0	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
101	Forging	-1	0	0	0	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
102	Strength Potion	-1	0	State_YSLLQH_Add	State_YSLLQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1196,0,0,0,0,0,0,0,0,0	0	1566795
103	Agility Potion	-1	0	State_YSMJQH_Add	State_YSMJQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1192,0,0,0,0,0,0,0,0,0	0	1566795
104	Accuracy Potion	-1	0	State_YSLQQH_Add	State_YSLQQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1193,0,0,0,0,0,0,0,0,0	0	1566795
105	Constitution Potion	-1	0	State_YSTZQH_Add	State_YSTZQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1194,0,0,0,0,0,0,0,0,0	0	1566795
106	Spirit Potion	-1	0	State_YSJSQH_Add	State_YSJSQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1195,0,0,0,0,0,0,0,0,0	0	1566795
107	Forge Bonus	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1198,0,0,0,0,0,0,0,0,0	Increases Forging Success Rate	1566795
108	Combine Bonus	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1199,0,0,0,0,0,0,0,0,0	Increases Combining Success Rate	1566795
109	Lantern	-1	0	State_DengLong_Add	State_DengLong_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	360	1	0	0	0	n0848,0,0,0,0,0,0,0,0,0	Increases Defense	1566795
110	Rose	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	504	25	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
111	Potions to recover HP	3	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
112	Wine 1	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
113	Wine 2	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
114	Corpse Poison	3	0	State_JSDD_Add	State_JSDD_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
115	Fascinate	-1	0	State_HYMH_Add	State_HYMH_Rem	3	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	807	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
116	Black Dragon Terror	-1	0	State_HLKJ_Add	State_HLKJ_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	319	-1	0	0	0	s0225,0,0,0,0,0,0,0,0,0	0	15218966
117	Black Dragon Roar	-1	0	State_HLLM_Add	State_HLLM_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	158	-1	0	0	0	s0225,0,0,0,0,0,0,0,0,0	0	15218966
118	Crab Binding	-1	0	State_CRXSF_Add	State_CRXSF_Rem	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	378	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
119	Fairy March	-1	0	State_MarchElf_Add	State_MarchElf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	505	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
120	Skating Potion	-1	0	State_YSMspd_Add	State_YSMspd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1390,0,0,0,0,0,0,0,0,0	Greatly Increases Movement Speed	1566795
