//ID	Name	Level	Coordinates	Map
0	NPCï¿½ï¿½ï¿½ï¿½	NPCÎ»ï¿½ï¿½	0,0	ï¿½ï¿½ï¿½ï¿½
34	Granny Beldi	Argent City	2277,2769	Ascaron 
35	Forbei	Argent City	2226,2726	Ascaron 
36	Sailer - Coddy	Argent City	2219,2911	Ascaron 
37	General - William	Argent City	2277,2831	Ascaron 
38	Shaitan Ambassador - Xiba	Argent City	2256,2706	Ascaron 
39	Argent Chairman - Ronnie	Argent City	2241,2748	Ascaron 
40	Oldman - Blurry	Argent City	2272,2700	Ascaron 
41	Mysterious Granny	Argent City	2158,2792	Ascaron 
42	Assistant - Rouri	Argent City	2240,2752	Ascaron 
43	Barmaid - Donna	Argent City	2224,2887	Ascaron 
44	Drunkyard - Anthony 	Argent City	2222,2889	Ascaron 
45	Tourist - Ja	Argent City	2215,2828	Ascaron 
46	Bybee	Argent City	2202,2776	Ascaron 
47	Maritime Assistant - Alena	Argent City	2247,2858	Ascaron 
48	Cold Star	Argent City	2261,2738	Ascaron 
49	Cleaner	Argent City	2252,2779	Ascaron 
50	Peter's Assistant	Argent City	2192,2765	Ascaron 
51	Spit's Assistant	Argent City	2193,2741	Ascaron 
52	Coral Vendor - Lamon	Belmont Plains	2061,2543	Ascaron 
53	Freight - Soraris	Belmont Plains	1879,2965	Ascaron 
54	Youth - Tommy	Belmont Plains	1962,2694	Ascaron 
55	Manufacturer - Desmond	Belmont Plains	1732,2782	Ascaron 
56	D EDITION - SMUGGLING BUNNY	Belmont Plains	2298,2520	Ascaron 
57	Patrol - Marcusa	Belmont Plains	2065,2732	Ascaron 
58	Fukei	Belmont Plains	2290,2495	Ascaron 
59	Xitron	Belmont Plains	1858,2585	Ascaron 
60	Bubu	Belmont Plains	1973,2457	Ascaron 
61	Melissa	Belmont Plains	1963,2492	Ascaron 
62	Little Cuwen	Belmont Plains	1635,2607	Ascaron 
63	Aunt Mary	Belmont Plains	2144,2552	Ascaron 
64	Matchstick	Belmont Plains	2064,2735	Ascaron 
65	Matchstick Granny	Belmont Plains	2064,2737	Ascaron 
66	Hatred Shrub 	Belmont Plains	2141,2704	Ascaron 
67	Haven Teleporter - Meiya	Abandon Mine Haven	1912,2802	Ascaron 
68	Nurse - Lesley	Abandon Mine Haven	1913,2803	Ascaron 
69	Freight - Huradar	Abandon Mine Haven	1907,2798	Ascaron 
70	Accessory - Pucan	Abandon Mine Haven	1889,2804	Ascaron 
71	Security - Kal	Abandon Mine Haven	1909,2820	Ascaron 
72	Kentaro	Abandon Mine Haven	1894,2798	Ascaron 
73	Berry	Abandon Mine Haven	1893,2812	Ascaron 
74	Geliya	Abandon Mine Haven	1914,2806	Ascaron 
75	Greg	Abandon Mine Haven	1883,2805	Ascaron 
76	Haven Teleporter - Felicia	Rockery Haven	1519,3076	Ascaron 
77	Nurse - Teresa	Rockery Haven	1521,3075	Ascaron 
78	Freight - Moken	Rockery Haven	1522,3095	Ascaron 
79	Gador	Rockery Haven	1507,3105	Ascaron 
80	Alexandis	Rockery Haven	1526,3089	Ascaron 
81	Durian	Rockery Haven	1535,3071	Ascaron 
82	Leyna	Rockery Haven	1510,3089	Ascaron 
83	Andes Teleporter - Wendy	guardian fairy	1018,2975	Ascaron 
84	Nurse - Laura	guardian fairy	1018,2977	Ascaron 
85	Accessory - Rikka	guardian fairy	996,2969	Ascaron 
86	Minoseva	guardian fairy	1004,2973	Ascaron 
87	Haven Teleporter - Elizabeth	Valhalla Haven	1121,2781	Ascaron 
88	Nurse - Karen	Valhalla Haven	1120,2782	Ascaron 
89	Accessory - Ferrari	Valhalla Haven	1111,2761	Ascaron 
90	Waala	Valhalla Haven	1136,2778	Ascaron 
91	Don Pitt	Valhalla Haven	1113,2779	Ascaron 
92	Professor Fenny	Valhalla Haven	1131,2777	Ascaron 
93	Guiderius	Valhalla Haven	1123,2766	Ascaron 
94	Haven Teleporter - Meila	Solace Haven	543,2437	Ascaron 
95	Nurse - Edith	Solace Haven	543,2439	Ascaron 
96	Old Cuwen	Solace Haven	529,2458	Ascaron 
97	Linda	Solace Haven	515,2437	Ascaron 
98	Dada	Solace Haven	588,2388	Ascaron 
99	Gregg	Solace Haven	526,2432	Ascaron 
100	Haven Teleporter - Mabel	Chaldea Haven	625,2104	Ascaron 
101	Nurse - Isabella	Chaldea Haven	625,2103	Ascaron 
102	Doctor - Chivo	Chaldea Haven	630,2091	Ascaron 
103	Accessory - Aii	Chaldea Haven	635,2091	Ascaron 
104	Simon Gilter	Chaldea Haven	646,2088	Ascaron 
105	Azur Breeze	Chaldea Haven	622,2106	Ascaron 
106	Sa Mori	Chaldea Haven	628,2095	Ascaron 
107	Carin Livingstone	Chaldea Haven	626,2100	Ascaron 
108	Freight - Canari	Chaldea Tundra	912,2000	Ascaron 
109	Thundoria Teleporter - Sarah	Thundoria Castle	743,1586	Ascaron 
110	Big Furnace	Thundoria Castle	759,1474	Ascaron 
111	Blacksmith - Furlington	Thundoria Castle	766,1447	Ascaron 
112	Tailor - Ditter	Thundoria Castle	754,1512	Ascaron 
113	Accessory - Wetigo	Thundoria Castle	731,1567	Ascaron 
114	Tools - Wesley	Thundoria Castle	741,1563	Ascaron 
115	Grocer - Kudu	Thundoria Castle	725,1551	Ascaron 
116	Banker - Macurdo	Thundoria Castle	743,1534	Ascaron 
117	Innkeeper - Granny Maya	Thundoria Castle	697,1542	Ascaron 
118	Emily	Thundoria Castle	741,1505	Ascaron 
119	Navy Commander - Dessaro	Thundoria Castle	713,1416	Ascaron 
120	Doctor - Masa	Thundoria Castle	773,1549	Ascaron 
121	Girl - Cindy	Thundoria Castle	740,1451	Ascaron 
122	Shaitan Ambassador - Alix	Thundoria Castle	712,1508	Ascaron 
123	Argent Ambassador - Yata	Thundoria Castle	741,1553	Ascaron 
124	Guard Captain - Mallack	Thundoria Castle	706,1465	Ascaron 
125	Navy HQ - General Ken	Thundoria Castle	808,1521	Ascaron 
126	Navy HQ - Colonel Maxi	Thundoria Castle	653,1505	Ascaron 
127	Morpheus - Freya	Thundoria Castle	651,1585	Ascaron 
128	Guard - Nisson	Thundoria Castle	711,1414	Ascaron 
129	Guard - Sonny	Thundoria Castle	715,1414	Ascaron 
130	Tourist - Bey	Thundoria Castle	669,1554	Ascaron 
131	Matchstick	Thundoria Castle	762,1518	Ascaron 
132	Matchstick Granny	Thundoria Castle	761,1515	Ascaron 
133	Harbor Operator - Lt. Wayne	Thundoria Harbor	1056,1324	Ascaron 
134	Builder - Attan	Thundoria Harbor	1062,1291	Ascaron 
135	Freights - Fernando	Thundoria Harbor	1038,1288	Ascaron 
136	Trader - Sanjay	Thundoria Harbor	1003,1306	Ascaron 
137	Bar Waitress - Mona	Thundoria Harbor	990,1263	Ascaron 
138	Sailor - Dio	Thundoria Harbor	1083,1285	Ascaron 
139	Girl - Rioli	Thundoria Harbor	1020,1278	Ascaron 
140	Island Teleporter - Andrea	Zephyr Isle	3266,3266	Ascaron 
141	Harbor Operator - Lufan	Zephyr Isle	3253,3301	Ascaron 
142	Nurse - Nadia	Zephyr Isle	3268,3266	Ascaron 
143	Trader - Burgess	Zephyr Isle	3254,3278	Ascaron 
144	Island Teleporter - Arsene	Glacier Isle	2272,1116	Ascaron 
145	Harbor Operator - Noel	Glacier Isle	2299,1122	Ascaron 
146	Nurse - Mildred	Glacier Isle	2274,1115	Ascaron 
147	Trader - Sacenis	Glacier Isle	2279,1112	Ascaron 
148	Island Teleporter - Shayala	Outlaw Isle	3611,728	Ascaron 
149	Harbor Operator - Lucci	Outlaw Isle	3620,743	Ascaron 
150	Nurse - Lydia	Outlaw Isle	3612,729	Ascaron 
151	Trader - Dilady	Outlaw Isle	3595,739	Ascaron 
152	Harbor Operator - Daruka	Albania Haven	1497,1707	Ascaron 
153	Harbor Operator - Fardell	Reagen Haven	3153,674	Ascaron 
154	Harbor Operator - Whitcombe	Hafta Haven	2041,1355	Ascaron 
155	Harbor Operator - Whitney	Sara Haven	3097,3530	Ascaron 
156	Tourist - Barbi	Sacred Snow Mountain	994,1234	Ascaron 
157	Newbie Guide - Resline	Shaitan City	876,3572	Magical Ocean 
158	Nurse - Landy	Shaitan City	890,3569	Magical Ocean 
159	Shaitan Teleporter - May	Shaitan City	918,3562	Magical Ocean 
160	Obscure Harbor Operator	Shaitan City	828,3705	Magical Ocean 
161	Harbor Operator - Mark	Shaitan City	823,3698	Magical Ocean 
162	Pucca	Shaitan City	912,3562	Magical Ocean 
163	Mysterious Augur 	Shaitan City	870,3570	Magical Ocean 
164	Ambassador of the Constellations	Shaitan City	893,3554	Magical Ocean 
165	Challenge Registrar	Shaitan City	868,3520	Magical Ocean 
166	Chaos Administrator	Shaitan City	967,3553	Magical Ocean 
167	Scared War Administrator - Naya	Shaitan City	981,3603	Magical Ocean 
168	Blacksmith - Smithy	Shaitan City	902,3495	Magical Ocean 
169	Blacksmith Disciple	Shaitan City	904,3501	Magical Ocean 
170	Tailor - Moya	Shaitan City	894,3602	Magical Ocean 
171	Grocery - Amos	Shaitan City	840,3585	Magical Ocean 
172	Physician - Shala	Shaitan City	903,3646	Magical Ocean 
173	Tools - Ouya	Shaitan City	862,3591	Magical Ocean 
174	Banker - Judis	Shaitan City	906,3539	Magical Ocean 
175	Ore Processsing Merchant	Shaitan City	908,3522	Magical Ocean 
176	Builder - Franklin	Shaitan City	901,3668	Magical Ocean 
177	Innkeeper - Harken	Shaitan City	810,3498	Magical Ocean 
178	Trader - Sidorf	Shaitan City	799,3659	Magical Ocean 
179	Freight - Amber	Shaitan City	1369,3033	Magical Ocean 
180	Freight - Ali Q	Shaitan City	832,3707	Magical Ocean 
181	Merchant	Shaitan City	847,3606	Magical Ocean 
182	Head Researcher	Shaitan City	808,3613	Magical Ocean 
183	Forsaken City Researcher	Shaitan City	809,3615	Magical Ocean 
184	Demonic World Researcher	Shaitan City	811,3613	Magical Ocean 
185	Dark Swamp Researcher	Shaitan City	811,3616	Magical Ocean 
186	Quirky Researcher	Shaitan City	804,3615	Magical Ocean 
187	Arms Dealer	Shaitan City	872,3646	Magical Ocean 
188	Rare Material Supplier	Shaitan City	895,3657	Magical Ocean 
189	Rare Metal Supplier	Shaitan City	848,3641	Magical Ocean 
190	Herbalist Mentor - Ghandiwella	Shaitan City	862,3500	Magical Ocean 
191	Clan Chief - Albuda	Shaitan City	898,3640	Magical Ocean 
192	Navy HQ - Admiral Nic	Shaitan City	865,3648	Magical Ocean 
193	Guildmaster - Forlan	Shaitan City	831,3548	Magical Ocean 
194	Shaitan Chairman - Guile	Shaitan City	873,3545	Magical Ocean 
195	Assistant - Tintin	Shaitan City	871,3547	Magical Ocean 
196	Coaster Guard - Franco	Shaitan City	867,3660	Magical Ocean 
197	Girl - Lena	Shaitan City	883,3520	Magical Ocean 
198	Pirate Decky	Shaitan City	792,3670	Magical Ocean 
199	Lamb - Welly	Shaitan City	898,3683	Magical Ocean 
200	Tourist - Wowo	Shaitan City	846,3499	Magical Ocean 
201	Tourist - Yay	Shaitan City	797,3554	Magical Ocean 
202	Tourist - Fairu	Shaitan City	931,3529	Magical Ocean 
203	Langa	Shaitan City	853,3549	Magical Ocean 
204	Substance Generator	Shaitan City	877,3645	Magical Ocean 
205	Maylada	Shaitan City	823,3534	Magical Ocean 
206	Matchstick	Shaitan City	905,3563	Magical Ocean 
207	Matchstick Granny	Shaitan City	907,3562	Magical Ocean 
208	Ghandiwella's Assistant	Shaitan City	863,3503	Magical Ocean 
209	Holy Priestess - Ada	Old Shaitan City	862,3303	Magical Ocean 
210	Ham	Old Shaitan City	826,3347	Magical Ocean 
211	Teleporter - Aina	Oasis Haven	803,3114	Magical Ocean 
212	Nurse - Sally	Oasis Haven	804,3116	Magical Ocean 
213	Ditaro	Oasis Haven	804,3098	Magical Ocean 
214	Kavosky	Oasis Haven	779,3098	Magical Ocean 
215	Wenona	Oasis Haven	781,3127	Magical Ocean 
216	Fey Fey	Oasis Haven	797,3129	Magical Ocean 
217	Marcus	Oasis Haven	789,3112	Magical Ocean 
218	Teleporter - Berlin	Babul Haven	1222,3196	Magical Ocean 
219	Nurse - Marie	Babul Haven	1224,3196	Magical Ocean 
220	Accessory - Allan	Babul Haven	1226,3183	Magical Ocean 
221	Minelli	Babul Haven	1244,3186	Magical Ocean 
222	Solaru	Babul Haven	1202,3179	Magical Ocean 
223	Odessis	Babul Haven	1201,3201	Magical Ocean 
224	Momo	Babul Haven	1209,3196	Magical Ocean 
225	Island Teleporter - Julie	Isle of Chill	2366,726	Magical Ocean 
226	Harbor Operator - Paul	Isle of Chill	2372,737	Magical Ocean 
227	Nurse - Tina	Isle of Chill	2367,726	Magical Ocean 
228	Trader - Sibun	Isle of Chill	2386,734	Magical Ocean 
229	Freight - Alexis	Isle of Chill	2356,726	Magical Ocean 
230	Pirate Jeremy	Isle of Chill	2362,657	Magical Ocean 
231	Island Teleporter - Winnie	Canary Isle	1722,3755	Magical Ocean 
232	Harbor Operator - Tomas	Canary Isle	1744,3774	Magical Ocean 
233	Nurse - Eileen	Canary Isle	1724,3755	Magical Ocean 
234	Trader - Mickey	Canary Isle	1739,3748	Magical Ocean 
235	Freight - Yevgeni	Canary Isle	1726,3787	Magical Ocean 
236	Captain Jack	Canary Isle	1672,3777	Magical Ocean 
237	Island Teleporter - Wanda	Cupid Isle	2520,2402	Magical Ocean 
238	Harbor Operator - Xad	Cupid Isle	2528,2393	Magical Ocean 
239	Nurse - Lilian	Cupid Isle	2520,2404	Magical Ocean 
240	Trader - Yuka	Cupid Isle	2519,2397	Magical Ocean 
241	Harbor Operator - Luigi	Norite Harbor Haven	464,468	Magical Ocean 
242	Harbor Operator - Buni	Aerase Haven	2042,635	Magical Ocean 
243	Harbor Operator - Domoru	Lahu Haven	3498,923	Magical Ocean 
244	Harbor Operator - Teba	Pyrex Haven	3081,2135	Magical Ocean 
245	Help Support	Pyrex Haven	3089,2119	Magical Ocean 
246	Harbor Operator - Baros	Woody Haven	2024,2752	Magical Ocean 
247	Harbor Operator - Didane	Remove 30 Reputation	1544,3712	Magical Ocean 
248	Harbor Operator - Dannis	Hubble Haven	136,3432	Magical Ocean 
249	Harbor Operator - Soc	Ethio Haven	3194,3507	Magical Ocean 
250	Sand Bandit - Supermun	Southern Desert	1080,3086	Magical Ocean 
251	Ruben Actus	Southern Desert	1131,3153	Magical Ocean 
252	Merrix	Southern Desert	1118,3611	Magical Ocean 
253	Gudas	Southern Desert	921,2991	Magical Ocean 
254	Freight - Ansto	Prairie Desert	1535,3449	Magical Ocean 
255	Musician - Shamel	Prairie Desert	664,3093	Magical Ocean 
256	Merman Prince - Hassan	Prairie Desert	1254,3491	Magical Ocean 
257	Guard - Michael	Prairie Desert	958,3549	Magical Ocean 
258	Augustan	Prairie Desert	1196,3570	Magical Ocean 
259	Jeynaa	Prairie Desert	1177,3456	Magical Ocean 
260	Beck	Prairie Desert	556,2934	Magical Ocean 
261	Love Yuri	Prairie Desert	1127,3417	Magical Ocean 
262	Robin	Prairie Desert	1131,3305	Magical Ocean 
263	Caribbean Estuary A	Magical Ocean	2202,2781	Magical Ocean 
264	Caribbean Estuary A	Magical Ocean	877,3756	Magical Ocean 
265	Caribbean Estuary A	Magical Ocean	1010,374	Magical Ocean 
266	Forsaken City Estuary 	Magical Ocean	1509,3666	Magical Ocean 
267	Dark Swamp Estuary 	Magical Ocean	2037,2779	Magical Ocean 
268	Newbie Guide - Angela	Lower Icicle Castle	1315,507	Deep Blue
269	Nurse - Elaine	Lower Icicle Castle	1321,543	Deep Blue
270	Icicle Teleporter - Helen	Lower Icicle Castle	1323,544	Deep Blue
271	Harbor Operator - Silion	Lower Icicle Castle	1214,681	Deep Blue
272	Pucca	Lower Icicle Castle	1320,545	Deep Blue
273	#N/A	Lower Icicle Castle	1309,506	Deep Blue
274	Chaos Administrator	Lower Icicle Castle	1374,529	Deep Blue
275	Sacred War Administrator: Maya	Lower Icicle Castle	1450,613	Deep Blue
276	Gift Giver	Lower Icicle Castle	1307,500	Deep Blue
277	Nurse - Anne	Lower Icicle Castle	1318,500	Deep Blue
278	Fairy Merchant	Lower Icicle Castle	1370,589	Deep Blue
279	Substance Analyzation Tool	Lower Icicle Castle	1341,565	Deep Blue
280	Blacksmith - Bash	Lower Icicle Castle	1344,529	Deep Blue
281	Tailor - Hannah	Lower Icicle Castle	1349,539	Deep Blue
282	Grocer - Palpin	Lower Icicle Castle	1356,483	Deep Blue
283	Physican - Daisha	Lower Icicle Castle	1352,499	Deep Blue
284	Banker - Belinda	Lower Icicle Castle	1360,519	Deep Blue
285	Builder - George	Lower Icicle Castle	1221,628	Deep Blue
286	Innkeeper - Yaskey	Lower Icicle Castle	1290,540	Deep Blue
287	Trader - Pahniro	Lower Icicle Castle	1260,573	Deep Blue
288	Waitress - Babara	Lower Icicle Castle	1310,530	Deep Blue
289	Merchant	Lower Icicle Castle	1326,531	Deep Blue
290	Black Market Merchant	Lower Icicle Castle	1370,587	Deep Blue
291	Icicle Swordsman - Ray	Lower Icicle Castle	1365,570	Deep Blue
292	Icicle Chairman - Reyno	Lower Icicle Castle	1294,498	Deep Blue
293	Icicle Royal - Mas	Lower Icicle Castle	1346,451	Deep Blue
294	Tourist - Tink	Lower Icicle Castle	1335,469	Deep Blue
295	Missy Elene	Lower Icicle Castle	1280,478	Deep Blue
296	Luke	Lower Icicle Castle	1320,585	Deep Blue
297	Matchstick	Lower Icicle Castle	1363,563	Deep Blue
298	Matchstick Granny	Lower Icicle Castle	1364,561	Deep Blue
299	Chirstmas Tree	Lower Icicle Castle	1220,550	Deep Blue
300	Sailer - Ajax	Lower Icicle Castle	1221,617	Deep Blue
301	Patrol - Little Mo	Lower Icicle Castle	1237,613	Deep Blue
302	Leo's Assistant	Lower Icicle Castle	1368,572	Deep Blue
303	Wynne	Upper Icicle Castle	1380,523	Deep Blue
304	Lessie	Upper Icicle Castle	1379,612	Deep Blue
305	Teleporter -Lily	Icicle Haven	818,354	Deep Blue
306	Nurse - Evelyn	Icicle Haven	819,354	Deep Blue
307	Jernis	Icicle Haven	803,352	Deep Blue
308	Granny Dong	Icicle Haven	795,363	Deep Blue
309	Nana	Icicle Haven	798,369	Deep Blue
310	Weird Grampa	Icicle Haven	808,373	Deep Blue
311	Teleporter - Sofia	Atlantis Haven	1046,639	Deep Blue
312	Nurse - Gavin	Atlantis Haven	1047,638	Deep Blue
313	Freight - Alkins	Atlantis Haven	1059,670	Deep Blue
314	Willi	Atlantis Haven	1028,668	Deep Blue
315	Zurbi	Atlantis Haven	1037,671	Deep Blue
316	Gasardis	Atlantis Haven	1028,649	Deep Blue
317	Julie Burn	Atlantis Haven	1049,673	Deep Blue
318	Ulkar	Atlantis Haven	1059,661	Deep Blue
319	Dodo	Atlantis Snow Field	1590,531	Deep Blue
320	Lamut	Atlantis Snow Field	1536,704	Deep Blue
321	Irisis	Atlantis Snow Field	1275,672	Deep Blue
322	Eluna	Atlantis Snow Field	1141,575	Deep Blue
323	Shereda	Atlantis Snow Field	1067,452	Deep Blue
324	Ciao	Atlantis Snow Field	964,422	Deep Blue
325	Strawberry	Atlantis Snow Field	1010,350	Deep Blue
326	Eve	Atlantis Snow Field	1426,285	Deep Blue
327	Susana	Atlantis Snow Field	1163,435	Deep Blue
328	Caroline	Atlantis Snow Field	1160,692	Deep Blue
329	Jameson	Atlantis Snow Field	1043,780	Deep Blue
330	Lucy	Atlantis Snow Field	936,818	Deep Blue
331	Yulandor	Atlantis Snow Field	789,795	Deep Blue
332	Ketan	Atlantis Snow Field	997,454	Deep Blue
333	Teleporter - Mina	Skeleton Haven	2116,551	Deep Blue
334	Nurse - Ruth	Skeleton Haven	2118,551	Deep Blue
335	Oracle - Moonlight	Skeleton Haven	2134,555	Deep Blue
336	Xeus	Skeleton Haven	2138,545	Deep Blue
337	Hoho	Skeleton Haven	2142,556	Deep Blue
338	Tae	Skeleton Haven	2128,540	Deep Blue
339	Teleporter - Artemis	Icespire Haven	2696,638	Deep Blue
340	Nurse - Fiona	Icespire Haven	2698,638	Deep Blue
341	Accessory - Dunman	Icespire Haven	2673,657	Deep Blue
342	Neila	Icespire Haven	2675,631	Deep Blue
343	Lulu	Icespire Haven	2668,634	Deep Blue
344	Mekkilon	Icespire Haven	2662,648	Deep Blue
345	Fardey	Icespire Haven	2680,657	Deep Blue
346	Master Kerra	Icespire Haven	2664,654	Deep Blue
347	Sasha	Icespire Haven	2678,631	Deep Blue
348	Kevin Wolf	Icespire Haven	2688,628	Deep Blue
349	Freight - Jas	Icespire	1981,550	Deep Blue
350	Island Teleporter - Juliet	Isle of Fortune	1634,1968	Deep Blue
351	Harbor Operator - Hux	Isle of Fortune	1642,1986	Deep Blue
352	Nurse - Freda	Isle of Fortune	1635,1969	Deep Blue
353	Trader - Bowey	Isle of Fortune	1619,1976	Deep Blue
354	Harbor Operator - Gregory	Salva Haven	194,1715	Deep Blue
355	Harbor Operator - Odie	Karmas Haven	738,3803	Deep Blue
356	Harbor Operator - Ramus	Muse Haven	2297,3723	Deep Blue
357	Island Teleporter - Lanna	Autumn Island	2195,2785	Deep Blue
358	Autumn Island Tourist Girl	Autumn Island	2423,3186	Deep Blue
359	Well's Doppleganger	Autumn Island	2582,3245	Deep Blue
360	Teleporter - Chun Li	Spring Town	3326,2511	Deep Blue
361	Nurse - Stella	Spring Town	3325,2512	Deep Blue
362	Harbor Operator - Qing	Spring Town	3685,2652	Deep Blue
363	Harbor Operator - Yun	Spring Town	3337,3523	Deep Blue
364	Harbor Operator - Shuang	Spring Town	3409,2560	Deep Blue
365	Blacksmith - Wu Xin	Spring Town	3316,2516	Deep Blue
366	Grocery - Luna	Spring Town	3279,2501	Deep Blue
367	Commerce - Yuri	Spring Town	3195,2506	Deep Blue
368	Banker - Wang Mo	Spring Town	3290,2512	Deep Blue
369	Tavern Keeper - Long Er	Spring Town	3302,2501	Deep Blue
370	Hotel Owner - Sang Di	Spring Town	3287,2501	Deep Blue
371	Hairstylist	Spring Town	3300,2513	Deep Blue
372	Diviner - Hocus Pocus	Spring Town	3262,2502	Deep Blue
373	Furnace of Immortality	Spring Town	3257,2502	Deep Blue
374	Northern Pirate - Yakamoto	Spring Town	2219,3286	Deep Blue
375	Guard - Zhao	Spring Town	3303,2533	Deep Blue
376	Guard - Zhou	Spring Town	3298,2534	Deep Blue
377	Youth - Cloud	Spring Town	3275,2467	Deep Blue
378	Youth - Misty	Spring Town	3241,2533	Deep Blue
379	Bill	Spring Town	3235,2550	Deep Blue
380	Wang Rong	Spring Town	3265,2547	Deep Blue
381	Teleporterï¿½ï¿½Mary	Luna Haven	249,864	Winter Island 
382	Harbor Operator - Sunny	Luna Haven	322,946	Winter Island 
383	Nurseï¿½ï¿½Tsukino	Luna Haven	254,881	Winter Island 
384	Blacksmith - Ben	Luna Haven	310,877	Winter Island 
385	Tailor - Dar	Luna Haven	260,832	Winter Island 
386	Grocer - Eddie	Luna Haven	323,858	Winter Island 
387	Physician - Vegito	Luna Haven	276,877	Winter Island 
388	Builder - Endymion	Luna Haven	283,924	Winter Island 
389	Attendant - Lee	Luna Haven	323,903	Winter Island 
390	Researcher Yee 	Luna Haven	297,901	Winter Island 
391	Researcher Little Bell	Luna Haven	299,901	Winter Island 
392	Harbour Operator - Luna	Snow Kara Isle	694,704	Winter Island 
393	Explorer -  Winston	Snow Kara Isle	472,531	Winter Island 
394	Snow Kara Guardian	Snow Kara Isle	557,300	Winter Island 
395	Harbour Operator - Starlet	Snow Ville Isle	1039,612	Winter Island 
396	Explorer -  Chris	Snow Ville Isle	1147,403	Winter Island 
397	Snow ville Guardian	Snow Ville Isle	1044,182	Winter Island 
398	Harbour Operator - Raymond	Winter Lake Island	259,1200	Winter Island 
399	North Ville	Winter Lake Island	715,1135	Winter Island 
400	Explorer -  Lion	Winter Lake Island	365,1526	Winter Island 
401	Explorer -  Jill	Winter Lake Island	958,1159	Winter Island 
402	Winter Lake IslandGuardian	Winter Lake Island	655,1471	Winter Island 
403	Ancient Relic Protector	Ice-covered Island	2010,783	Winter Island 
404	Kara's Statue	Ice-covered Island	1440,1268	Winter Island 
405	Ville's Statue	Ice-covered Island	1464,464	Winter Island 
406	Deep Blue Estuary	Winter Island Sea	271,1060	Winter Island 
407	Harbor Operator - Catchy	Treasure Gulf	631,927	Pirate Hideout
408	Harbor Operator - Penny	Treasure Gulf	658,993	Pirate Hideout
409	Abaddon Teleporter	Treasure Gulf	690,1043	Pirate Hideout
410	Heaven Teleporter	Treasure Gulf	474,1054	Pirate Hideout
411	Freights - Zabu	Treasure Gulf	612,945	Pirate Hideout
412	Elizabeth	Treasure Gulf	616,965	Pirate Hideout
413	Bermuda Guardian	Treasure Gulf	669,1064	Pirate Hideout
414	Seaport Commander	Skeletar Isle	612,622	Pirate Hideout
415	Mysterious Sailor	Skeletar Isle	370,165	Pirate Hideout
416	Jack Arrow	Skeletar Isle	230,579	Pirate Hideout
417	Mark Turner	Skeletar Isle	516,407	Pirate Hideout
418	Seaport Commander	Naval Base	1082,211	Pirate Hideout
419	Wellington	Naval Base	1042,134	Pirate Hideout
420	Bewildered Researcher A	Naval Base	1000,271	Pirate Hideout
421	Bewildered Researcher B	Naval Base	996,265	Pirate Hideout
422	Bewildered Researcher C	Naval Base	989,269	Pirate Hideout
423	Bewildered Researcher D	Naval Base	1138,261	Pirate Hideout
424	Bewildered Researcher E	Naval Base	1128,268	Pirate Hideout
425	Bewildered Researcher F	Naval Base	1133,267	Pirate Hideout
426	Magical Ocean Estuary A	Pirate Hideout	606,1083	Pirate Hideout
