//ID	Name	Start Coordinates	End Coordinates	Char IDs	Map
152	152	243800,334400	303800,367200	626,658	garner
153	153	323800,334400	383800,367200	645,654	garner
154	154	253800,370000	376000,397200	660,583	garner
155	155	223700,250500	233700,260500	841,0	garner
156	156	157400,296700	167400,306700	846,0	garner
157	157	136400,284600	146400,294600	848,0	garner
158	158	86000,292100	87000,302100	850,0	garner
159	159	109300,265500	119300,275500	851,0	garner
160	160	300000,35000	310000,45000	854,0	garner
161	161	95300,347600	110000,362600	96,218	magicsea
162	162	99300,350600	107000,360600	96,95	magicsea
163	163	55200,324000	80500,337700	218,0	magicsea
164	164	63200,324000	80500,333700	131,0	magicsea
165	165	81500,323300	96900,343300	96,0	magicsea
166	166	82500,322300	95900,332300	62,0	magicsea
167	167	82500,332300	95900,342300	48,0	magicsea
168	168	96700,323500	112000,347900	218,0	magicsea
169	169	95700,322500	111000,333500	62,0	magicsea
170	170	95700,335500	111000,346900	48,0	magicsea
171	171	112000,323500	128400,335500	96,0	magicsea
172	172	113000,323500	126400,330500	134,0	magicsea
173	173	126800,323100	140000,340000	218,0	magicsea
174	174	128800,325100	139000,335000	45,0	magicsea
175	175	140000,323100	154600,339000	43,0	magicsea
176	176	142000,325100	152600,334000	102,0	magicsea
177	177	55100,296300	82300,322400	48,218	magicsea
178	178	59100,301300	78300,317400	100,294	magicsea
179	179	81500,296700	95400,309000	62,0	magicsea
180	180	84500,298700	92400,307000	203,0	magicsea
181	181	96400,296200	117000,309000	294,0	magicsea
182	182	98400,296200	107000,306000	49,0	magicsea
183	183	115300,300700	119000,304600	106,45	magicsea
184	184	54900,288100	118800,298500	218,0	magicsea
185	185	54900,290100	88800,297500	101,0	magicsea
186	186	104800,292100	113800,297500	210,0	magicsea
187	187	119000,290000	137100,303700	294,0	magicsea
188	188	120000,293000	131100,301700	200,0	magicsea
189	189	148500,288900	154900,322200	100,0	magicsea
190	190	149500,287900	151900,306200	241,0	magicsea
191	191	149500,307200	151900,321200	210,0	magicsea
192	192	118300,304500	127900,322000	43,0	magicsea
193	193	119300,305500	126900,316000	49,0	magicsea
194	194	112000,345500	124900,362900	96,218	magicsea
195	195	113000,350500	123900,360900	188,247	magicsea
196	196	126800,340000	140000,347600	100,0	magicsea
197	197	128800,341000	138000,346600	129,0	magicsea
198	198	140000,339000	152600,347600	251,0	magicsea
199	199	140000,339000	147600,343600	251,0	magicsea
200	200	149600,342600	151600,344600	290,145	magicsea
201	201	137000,290000	147100,303700	43,0	magicsea
202	202	138000,294000	146100,300700	241,0	magicsea
203	203	81500,309000	95400,322200	218,0	magicsea
204	204	84500,311000	92400,320200	43,0	magicsea
205	205	96400,309000	117000,322700	294,0	magicsea
206	206	101400,309000	116000,316700	45,0	magicsea
207	207	129800,305600	146400,321200	186,68	magicsea
208	208	4100,55000	227600,102400	97,90	magicsea
209	209	258800,54400	406000,102400	193,90	magicsea
210	210	4100,105200	122800,276400	193,60	magicsea
211	211	80000,105200	100000,156400	642,643	magicsea
212	212	100000,105200	122800,156400	590,591	magicsea
213	213	80000,160000	100000,240000	652,588	magicsea
214	214	80000,240000	122800,270000	587,0	magicsea
215	215	80000,160000	122800,276400	644,648	magicsea
216	216	125200,104800	339200,229200	54,78	magicsea
217	217	175200,104800	225200,154800	105,609	magicsea
218	218	285200,104800	339200,154800	647,627	magicsea
219	219	125200,164800	175200,229200	657,627	magicsea
220	220	225200,164800	339200,229200	89,608	magicsea
221	221	342000,105600	406000,282800	193,60	magicsea
222	222	350000,110000	400000,145000	621,639	magicsea
223	223	350000,150000	400000,185000	625,0	magicsea
224	224	350000,190000	400000,225000	646,0	magicsea
225	225	350000,230000	400000,265000	640,641	magicsea
226	226	124800,230000	233600,275600	97,90	magicsea
227	227	124800,230000	174800,275600	92,597	magicsea
228	228	184800,230000	233600,275600	593,594	magicsea
229	229	271200,232800	339200,282400	97,90	magicsea
230	230	289200,232800	339200,282400	593,594	magicsea
231	231	4100,278400	57200,340400	97,90	magicsea
232	232	156400,285200	307200,398800	97,90	magicsea
233	233	160000,285200	230000,340000	92,632	magicsea
234	234	233000,285200	303000,340000	53,44	magicsea
235	235	233000,343000	303200,393800	91,577	magicsea
236	236	160000,343000	230000,360000	593,594	magicsea
237	237	183200,360000	210000,393800	656,0	magicsea
238	238	309600,285600	406000,397200	193,90	magicsea
239	239	359600,285600	406000,337200	623,586	magicsea
240	240	359600,345600	406000,397200	605,624	magicsea
241	241	4100,337600	78000,398800	97,60	magicsea
242	242	4100,370000	73600,398800	97,193	magicsea
243	243	76000,375000	155000,397200	97,60	magicsea
244	244	214000,360000	228000,393800	593,0	magicsea
245	245	185000,175000	215000,215000	648,649	magicsea
246	246	200000,200000	200000,200000	685,0	magicsea
247	247	85700,321700	95700,331700	843,0	magicsea
248	248	117500,322000	127500,322000	847,0	magicsea
249	249	105700,292700	113100,297800	849,0	magicsea
250	250	190000,307600	200000,317600	853,0	magicsea
251	251	61100,28800	77300,42600	234,0	darkblue
252	252	62100,28800	69300,37600	228,0	darkblue
253	253	62100,39700	69300,42600	233,0	darkblue
254	254	70300,42700	77300,42600	232,0	darkblue
255	255	71300,33800	77300,37800	46,0	darkblue
256	256	71100,27800	83300,30800	232,233	darkblue
257	257	77500,28800	88200,44800	239,0	darkblue
258	258	83500,30800	93500,35800	34,266	darkblue
259	259	88900,28800	110000,45500	216,0	darkblue
260	260	88900,37500	100000,45500	214,0	darkblue
261	261	88900,27500	110000,45500	83,0	darkblue
262	262	109800,27800	149500,32200	216,0	darkblue
263	263	109800,28800	123000,32200	238,0	darkblue
264	264	125000,28800	140000,32200	240,0	darkblue
265	265	109800,32300	126100,55000	216,234	darkblue
266	266	111800,34300	124100,40000	239,0	darkblue
267	267	111800,42000	124100,53000	235,0	darkblue
268	268	143700,33300	149400,49100	216,0	darkblue
269	269	143700,36300	149400,44100	234,235	darkblue
270	270	77800,43900	90800,54800	234,0	darkblue
271	271	84800,43900	89800,48800	46,0	darkblue
272	272	79800,48800	89800,54800	32,0	darkblue
273	273	88500,45800	112900,58300	216,0	darkblue
274	274	102900,45800	112900,58300	51,0	darkblue
275	275	88500,51800	101900,58300	130,0	darkblue
276	276	109800,55000	132700,60700	216,234	darkblue
277	277	110000,56000	121000,59700	216,234	darkblue
278	278	138300,50900	158800,73200	233,232	darkblue
279	279	140300,63200	158800,70200	98,0	darkblue
280	280	154800,53200	162800,60000	98,257	darkblue
281	281	140300,52900	150800,59200	296,0	darkblue
282	282	83300,59200	98300,71000	228,0	darkblue
283	283	85300,59200	89300,70000	281,0	darkblue
284	284	93300,61200	98300,71000	142,0	darkblue
285	285	98300,59200	113800,71000	46,0	darkblue
286	286	107800,59200	113800,65200	83,0	darkblue
287	287	79200,70800	93000,81200	51,0	darkblue
288	288	85200,70800	93000,79200	265,79	darkblue
289	289	79200,71800	81200,78200	293,0	darkblue
290	290	93000,70800	110000,81200	32,0	darkblue
291	291	101000,70800	110000,76800	255,0	darkblue
292	292	93000,73800	100000,81200	137,0	darkblue
293	293	102000,77800	110000,83200	138,0	darkblue
294	294	86000,81000	103400,93400	32,0	darkblue
295	295	86000,81000	95400,87400	256,0	darkblue
296	296	86000,89400	93400,95400	98,0	darkblue
297	297	96400,81000	102400,90400	143,0	darkblue
298	298	86000,89400	89000,95400	289,0	darkblue
299	299	212500,41800	217000,56600	137,142	darkblue
300	300	213000,42800	220000,49600	141,133	darkblue
301	301	220400,42000	232900,65900	137,216	darkblue
302	302	220400,43000	232900,51000	269,268	darkblue
303	303	220400,54000	232900,64000	297,144	darkblue
304	304	232700,50600	243000,58700	216,0	darkblue
305	305	233700,50600	241000,59700	132,0	darkblue
306	306	242600,41500	251600,60000	297,144	darkblue
307	307	243600,44500	250600,56000	516,0	darkblue
308	308	258500,35600	289200,44800	297,144	darkblue
309	309	260500,33600	282200,40800	502,0	darkblue
310	310	251200,39500	267700,61700	297,144	darkblue
311	311	252200,41000	266700,50000	194,0	darkblue
312	312	252200,51000	266700,60000	271,0	darkblue
313	313	268200,40100	287000,60100	297,144	darkblue
314	314	269200,40100	280000,50000	270,0	darkblue
315	315	281000,40100	290000,50000	195,0	darkblue
316	316	274200,51000	288000,62100	517,0	darkblue
317	317	290400,51000	318100,64600	297,144	darkblue
318	318	292400,54000	307100,58000	244,0	darkblue
319	319	309100,55000	316100,62600	544,0	darkblue
320	320	267300,61100	291400,70000	297,144	darkblue
321	321	268300,62100	279000,68000	501,0	darkblue
322	322	280000,62100	290400,68000	530,0	darkblue
323	323	303700,63700	316500,70600	297,144	darkblue
324	324	305700,64700	314500,68600	504,0	darkblue
325	325	252200,76400	273900,83600	297,144	darkblue
326	326	255200,76400	262900,82600	545,0	darkblue
327	327	263200,76400	272900,82600	272,0	darkblue
328	328	253200,79600	264300,94400	297,144	darkblue
329	329	255200,80600	264300,85600	506,0	darkblue
330	330	253200,86600	264300,93400	196,0	darkblue
331	331	160600,52000	208900,54000	233,232	darkblue
332	332	164600,52000	184600,54000	257,0	darkblue
333	333	188600,52000	207900,54000	259,0	darkblue
334	334	326800,15000	406000,78800	193,242	darkblue
335	335	356800,15000	406000,78800	81,616	darkblue
336	336	4100,59200	82800,144000	97,60	darkblue
337	337	14100,67200	62800,97200	193,576	darkblue
338	338	14100,104000	62800,134000	596,0	darkblue
339	339	118000,78000	244400,143600	97,198	darkblue
340	340	125000,86000	174000,114000	579,58	darkblue
341	341	174000,116000	244400,143600	199,615	darkblue
342	342	283200,84800	406000,143600	198,193	darkblue
343	343	284200,85800	342200,113800	81,635	darkblue
344	344	344200,85800	405000,113800	582,618	darkblue
345	345	284200,115800	342200,142600	57,651	darkblue
346	346	344200,115800	405000,142600	580,581	darkblue
347	347	4100,148200	137600,259200	198,199	darkblue
348	348	5100,149200	69000,203200	637,603	darkblue
349	349	71000,149200	136600,203200	630,631	darkblue
350	350	5100,205200	69000,258200	638,585	darkblue
351	351	71000,205200	136600,258200	606,0	darkblue
352	352	180700,146700	290600,262900	242,198	darkblue
353	353	182700,148700	233600,204700	630,631	darkblue
354	354	182700,208700	233600,260900	653,0	darkblue
355	355	237600,178700	288600,230900	584,0	darkblue
356	356	291200,146300	404000,238500	97,90	darkblue
357	357	293200,148300	349000,198000	617,636	darkblue
358	358	293200,203000	306000,266000	620,0	darkblue
359	359	351000,170000	406000,225000	622,0	darkblue
360	360	4100,260700	166500,398400	193,60	darkblue
361	361	14100,270700	74100,320700	583,654	darkblue
362	362	96500,338400	156500,388400	602,658	darkblue
363	363	14100,270700	71600,320700	604,622	darkblue
364	364	98600,338400	156500,388400	584,603	darkblue
365	365	168300,359500	259800,398000	97,198	darkblue
366	366	188300,359500	239800,398000	655,0	darkblue
367	367	237000,203000	305500,265800	97,90	darkblue
368	368	268800,350800	314300,393800	607,0	darkblue
369	369	320800,364400	406000,397200	242,198	darkblue
370	370	335800,364400	391000,397200	589,0	darkblue
371	371	314800,242300	323900,244200	761,185	darkblue
372	372	326400,242400	332400,246600	748,185	darkblue
373	373	334900,245100	339600,253600	185,75	darkblue
374	374	325600,254000	331500,257500	185,75	darkblue
375	375	313200,256400	324700,257800	761,185	darkblue
376	376	313700,247200	316400,255400	761,185	darkblue
377	377	364800,273300	373900,288800	185,75	darkblue
378	378	353900,292300	376100,301100	528,787	darkblue
379	379	356100,303400	368200,309400	528,787	darkblue
380	380	339200,296200	349700,304100	185,75	darkblue
381	381	340900,307100	353500,323400	528,787	darkblue
382	382	324900,326000	329800,334400	528,552	darkblue
383	383	331100,322700	335900,337000	528,552	darkblue
384	384	319600,332200	324200,342700	528,552	darkblue
385	385	325300,339300	334600,345300	528,552	darkblue
386	386	340200,299500	368900,315500	528,787	darkblue
387	387	336900,316800	357100,328600	528,787	darkblue
388	388	336000,337000	351700,356500	551,787	darkblue
389	389	351400,353000	352700,356500	528,787	darkblue
390	390	338900,358000	347600,361500	528,787	darkblue
391	391	352000,292100	355700,299500	551,787	darkblue
392	392	345000,293600	345500,299200	551,787	darkblue
393	393	335300,296900	339300,302100	551,787	darkblue
394	394	351600,308700	354600,319500	551,787	darkblue
395	395	348100,334700	355700,352600	551,787	darkblue
396	396	366900,332000	371700,336300	551,787	darkblue
397	397	358900,332400	366500,340000	551,787	darkblue
398	398	358000,274800	380800,291400	528,787	darkblue
399	399	338700,325900	351900,343700	217,220	darkblue
400	400	354700,323000	367400,336800	787,551	darkblue
401	401	354100,340300	357700,350100	787,551	darkblue
402	402	348400,346400	352400,355800	787,551	darkblue
403	403	334200,344700	339500,356500	787,551	darkblue
404	404	341500,334700	347400,349000	787,551	darkblue
405	405	340700,354200	347400,360200	787,551	darkblue
406	406	297000,274700	303600,279500	218,215	darkblue
407	407	299100,289600	305300,294400	218,215	darkblue
408	408	282900,282400	296800,299800	185,75	darkblue
409	409	264100,312500	291400,332600	218,215	darkblue
410	410	283900,337600	290700,342000	218,215	darkblue
411	411	216000,338400	231700,341800	218,215	darkblue
412	412	268900,297600	278300,310700	734,735	darkblue
413	413	256700,296100	263200,324600	734,735	darkblue
414	414	281400,278800	283200,284200	734,735	darkblue
415	415	301100,295100	302700,299200	734,735	darkblue
416	416	289000,286000	296300,303500	734,735	darkblue
417	417	302900,276300	306000,280600	734,735	darkblue
418	418	232200,308600	255600,314500	734,735	darkblue
419	419	248500,315800	253900,323900	734,735	darkblue
420	420	232400,315800	237200,323200	735,736	darkblue
421	421	240100,322200	246400,330400	735,736	darkblue
422	422	229000,324100	236200,334800	735,736	darkblue
423	423	112600,30000	112600,32600	842,0	darkblue
424	424	86000,35400	91600,29200	844,0	darkblue
425	425	63000,34600	67300,28300	845,0	darkblue
426	426	221300,43500	221300,43500	852,0	darkblue
427	427	358400,375800	358400,375800	855,0	darkblue
428	428	19700,81800	25800,82600	1082,216	winterland
429	429	16300,83300	19400,86800	1082,216	winterland
430	430	18500,87300	22800,89800	1082,216	winterland
431	431	17900,90600	22100,93200	1082,216	winterland
432	432	31500,81700	34800,86400	216,222	winterland
433	433	37700,19300	400,28400	1091,216	winterland
434	434	42700,17100	47600,48700	1091,1089	winterland
435	435	34600,34600	41900,37700	1091,216	winterland
436	436	38700,38600	42100,47100	1091,1089	winterland
437	437	48200,32100	51800,49500	1091,216	winterland
438	438	52100,35300	57900,53800	1091,1090	winterland
439	439	48300,16100	50800,25900	1091,216	winterland
440	440	52200,20300	55500,25800	1091,216	winterland
441	441	56200,15400	62000,28400	1091,1090	winterland
442	442	62600,21700	73100,28200	1091,1090	winterland
443	443	59400,28800	73900,33800	1090,216	winterland
444	444	61700,34400	72300,37800	1090,216	winterland
445	445	60200,38500	68400,53900	1087,1090	winterland
446	446	69000,40100	72500,46700	1087,1090	winterland
447	447	29700,44000	38100,48400	1089,216	winterland
448	448	32200,48800	35700,55600	1089,216	winterland
449	449	36200,54400	50100,57900	1089,216	winterland
450	450	40900,58300	50100,63600	1089,216	winterland
451	451	50400,54400	56400,74000	1087,1089	winterland
452	452	57000,54400	63600,68900	1087,216	winterland
453	453	64100,66400	70900,70000	1087,216	winterland
454	454	56200,74500	58900,77100	1087,216	winterland
455	455	85000,12900	90000,22700	1092,1090	winterland
456	456	90500,8100	98900,26000	1092,1090	winterland
457	457	96300,3400	108500,10000	1091,1092	winterland
458	458	99400,17800	106800,25900	1091,1092	winterland
459	459	108200,8000	121300,18000	1091,1092	winterland
460	460	121800,10500	128700,18100	1091,216	winterland
461	461	109700,18300	131700,26000	1091,216	winterland
462	462	95500,26400	126000,34000	1091,216	winterland
463	463	110500,34500	114900,36700	1090,0	winterland
464	464	115300,34400	124400,38000	1091,216	winterland
465	465	110500,42400	117200,44300	1090,1091	winterland
466	466	117700,41600	123700,47500	1090,1091	winterland
467	467	95400,34400	110000,45800	1090,1091	winterland
468	468	88900,37600	94900,45900	1090,216	winterland
469	469	82500,40100	88600,46800	1090,216	winterland
470	470	77900,47200	83700,50900	1088,1090	winterland
471	471	88100,46400	106000,53200	1088,1090	winterland
472	472	74500,54400	78800,58000	1088,216	winterland
473	473	79300,53700	85200,61900	1088,216	winterland
474	474	85700,53700	92400,61900	1088,216	winterland
475	475	92900,53600	105300,56400	1088,1090	winterland
476	476	99400,56900	106100,59800	1088,1090	winterland
477	477	110400,35800	110400,35800	1100,0	winterland
478	478	45700,92100	50000,96400	1082,216	winterland
479	479	45800,96800	52600,100400	1082,216	winterland
480	480	54500,91900	57300,95600	1082,216	winterland
481	481	55300,96000	60600,100600	1082,216	winterland
482	482	39300,100800	58200,105900	1082,216	winterland
483	483	39300,106400	55000,11100	1082,216	winterland
484	484	44900,111100	54900,115700	1082,216	winterland
485	485	72900,84700	75000,87700	1082,1084	winterland
486	486	73700,87900	81300,89200	1082,1084	winterland
487	487	70500,89600	83700,93200	1082,1084	winterland
488	488	66600,93700	86100,98000	1084,0	winterland
489	489	90500,91200	93300,95700	1085,0	winterland
490	490	86500,95200	91800,98100	1085,0	winterland
491	491	60900,98300	96500,104400	1084,1085	winterland
492	492	57700,104500	101400,111500	1084,1085	winterland
493	493	101700,108800	107000,111600	1086,0	winterland
494	494	64100,111900	75600,116400	1085,0	winterland
495	495	82500,111900	107000,115700	1086,0	winterland
496	496	45600,116000	51700,120500	1082,1083	winterland
497	497	41800,121000	50200,126000	1082,1083	winterland
498	498	30400,123900	41300,126100	1082,1083	winterland
499	499	21800,120900	30100,126100	1082,1083	winterland
500	500	24900,126400	50000,130900	1084,0	winterland
501	501	53700,117600	57500,122100	1084,0	winterland
502	502	52800,121400	56600,133300	1084,0	winterland
503	503	56900,124100	60700,134100	1084,1085	winterland
504	504	60900,121600	63000,129200	1084,1085	winterland
505	505	63200,116600	70100,126800	1085,0	winterland
506	506	64900,127100	72600,141200	1085,0	winterland
507	507	66900,108100	78300,111500	1084,1085	winterland
508	508	75300,115900	77300,122000	1085,1086	winterland
509	509	77700,116000	107000,118100	1086,0	winterland
510	510	81700,118400	111800,125300	1086,0	winterland
511	511	78300,125500	106200,131600	1086,0	winterland
512	512	74500,131900	95000,137200	1085,1086	winterland
513	513	72900,137600	90900,141300	1085,1086	winterland
514	514	6500,131300	45100,138800	1082,1083	winterland
515	515	45600,131200	49500,135000	1082,1083	winterland
516	516	23300,139100	42200,143700	1082,1083	winterland
517	517	24100,143900	44500,148400	1083,216	winterland
518	518	28100,148800	48600,153200	1083,216	winterland
519	519	20000,159900	24600,161300	1083,216	winterland
520	520	28000,153600	47800,159000	1083,216	winterland
521	521	24600,159100	46300,166100	1083,216	winterland
522	522	24900,166300	34100,168400	1083,216	winterland
523	523	60100,141400	66900,146800	1085,0	winterland
524	524	55300,147100	60600,150100	1085,0	winterland
525	525	52100,150400	59700,154000	1085,0	winterland
526	526	69600,141500	87000,144500	1086,0	winterland
527	527	72000,144800	77400,150000	1086,0	winterland
528	528	63300,153000	78900,153200	1086,0	winterland
529	529	50400,154300	74100,157200	1085,1086	winterland
530	530	48900,157500	71000,162000	1085,1086	winterland
531	531	48100,162400	71700,164600	1085,1086	winterland
532	532	46400,164700	63000,168500	1085,1086	winterland
533	533	46500,168800	61300,172500	1085,1086	winterland
534	534	45600,133200	45600,133200	1099,0	winterland
535	535	136800,36100	139800,40500	1093,0	winterland
536	536	140100,33000	163700,38800	1093,0	winterland
537	537	144800,39100	160600,43800	1093,0	winterland
538	538	135400,40900	138300,51000	1093,0	winterland
539	539	138500,44000	159900,51000	1093,1095	winterland
540	540	172000,36700	175900,43000	1094,0	winterland
541	541	164100,13200	175000,46000	1094,0	winterland
542	542	160000,46300	175100,51000	1094,0	winterland
543	543	175200,44700	179900,50800	1094,1095	winterland
544	544	136800,51000	183100,59800	1093,1094	winterland
545	545	183300,53500	195100,59600	1094,1095	winterland
546	546	195200,47900	199100,56500	1094,0	winterland
547	547	143200,59900	166300,65400	1095,0	winterland
548	548	139300,67200	143100,73400	1095,0	winterland
549	549	175300,59900	199100,62800	1095,1096	winterland
550	550	182400,63000	195900,65400	1095,1096	winterland
551	551	156000,65600	172600,74000	1095,1096	winterland
552	552	172900,68700	184700,74100	1096,0	winterland
553	553	184900,65600	195100,74200	1096,0	winterland
554	554	195300,68800	200700,74200	1096,0	winterland
555	555	159200,74300	213500,79800	1097,0	winterland
556	556	166500,80000	209500,85500	1097,0	winterland
557	557	165600,85500	207000,93200	1097,1098	winterland
558	558	148900,94300	157200,98900	1096,0	winterland
559	559	157700,93500	169600,99200	1096,0	winterland
560	560	144000,99200	161500,103700	1096,1098	winterland
561	561	143300,103900	152600,108600	1096,0	winterland
562	562	146500,108800	154300,115000	1096,1095	winterland
563	563	178400,93700	205500,99000	1098,0	winterland
564	564	161600,99300	205400,103700	1096,1098	winterland
565	565	161600,103900	202200,106200	1098,0	winterland
566	566	161600,106100	189400,109300	1098,0	winterland
567	567	154400,109400	182300,115000	1095,1096	winterland
568	568	182400,109500	187000,111600	1098,0	winterland
